test_description,blockchain,project,version,block_number,block_date,tx_hash,token_id,seller,buyer,amount_raw,currency_contract
Punk Offered and Sold,ethereum,cryptopunks,1,7812344,2019-05-22,0x835d061340c9469c684a1f4908f25fc4f726636fd4f8b0caee4b2b64d86b6369,5912,0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,0x653a8b0a31a24dba88baf7cb3ab3d144d8253d6b,450000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Punk Offered and Sold with intermediate Bid Accepted,ethereum,cryptopunks,1,11635949,2021-01-11,0xbfbdeb36f264b8183b4495160406988cb69ea53569c59a154386f5c024e5a93e,5912,0x3323b202e37aacda8cf57c5ab22975d84f4be526,0xef6d580d94c7d2f8f24fc85a000a6171e6c91dfb,290000000000000000,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
