block_number,tx_hash,buyer,seller,nft_contract_address,token_id,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw
14749831,0xe0336323d6e540c6afde8b092c19629e873bf65659b637beee25acc213b59f05,0x9547e02d92f39f5d9d00ad20925dd22df1fc1a36,0xe80ef3e29c4a8de3867260104befb1ae2d88de57,0xed5af388653567af2f388e6224dc7c4b3241c544,2261,9.51e+18,1.902e+17,4.755e+17
14749341,0xaec7e5fb824d88c3cd97f3d8cf9271255553fe9f6f1735b87023530170ed819f,0xa91419d0c9bcd89eaad97c16b3057c7d96688536,0xa99df6986beb0006b2e0c1f4be026a1821a13ca6,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,91765,3e+18,6e+16,1.5e+17
14745927,0xcb8d4240b5453d8ea292993e6456849abbbcc7c15b010b79087bda0e40045882,0x31837aaf36961274a04b915697fdfca1af31a0c7,0xe4c2f917640b0a12a8a94bd2d07499c36db832b0,0xbce6d2aa86934af4317ab8615f89e3f9430914cb,9176,1.79e+17,3.58e+15,1.79e+16
14750412,0x09e44e399e334a2ea741dbb9767ae689cad07995a638c68ca32d3cb874567c6f,0x49620d1f3ce8f607f9b8f5bd7295ab75785f4bab,0x002a99690ab1989b7971db28cd4a7673e1e6f495,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,99247,3.4e+18,6.8e+16,1.7e+17
14745937,0x374c9a7b47a365b2c967cde2ca2d926e527801c630d96c06a91fd4af5a453a8c,0x02c7d6a071d363123694da8263498da7c0ff70bd,0x46873897f487119f34ffde1e6819dbda90cf8acd,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,63254,2.739e+18,5.478e+16,1.3695e+17
14750168,0x63b718d63962680950dac50f7285d46ca267b7384de294fcc47c1b9b9ead61b4,0xf8c9c83b2787435fa504ccabc07ed7e66dd4e93f,0x9832ff728c61236b32fb6f6e3c7e993f6c5bba88,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,7215,1.09e+18,2.18e+16,5.45e+16
14746661,0x5fc3092953d0c05fc8191cc23a6032b9690b6dd0069e56eb94ba733d9c6ce71f,0x60577490f99712525e4a36d559256c6f99c788f3,0x17331428346e388f32013e6bec0aba29303857fd,0x60e4d786628fea6478f785a6d7e704777c86a7c6,19722,1.924e+19,3.848e+17,4.81e+17
14749045,0x8b8130bc5d3a81d638d83c1aa79d5cfdad6818fad7d10a0b45b6d2941738bb09,0xb17cf8ef22a650b6de374a14fb1cabda635fdd8b,0xbaf6b2f3b5ed4a97a242dc44d8268cb427fdfc44,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,51869,2.7e+19,5.4e+17,1.35e+18
14748039,0x5f4b498121a4809afa987a66cf54059a879991e0e2c2b6bae1e7b39cffa2f9cf,0x4caf82a6914f5e00f8296bd729c3fd9bec9c500d,0xa099ec99966fa615c29b1ec56ce403fe655bca40,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,10977,2.2e+18,4.4e+16,1.1e+17
14745425,0x93f8ac1a5283288a18529d9159b1ed6f51b6319a4dad82c7b51bca21b7d276d6,0x80b8cc02807197db68bce43a2236f522ce333170,0x79c58ecf1d9e0a6c27fda1a1b67e88ad9c568034,0x60e4d786628fea6478f785a6d7e704777c86a7c6,22017,1.712e+19,3.424e+17,4.28e+17
