block_number,tx_hash,buyer,seller,nft_contract_address,token_id,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw
17001140,0x27045f81c5698478ff4d6142ec5ef667f0e0693784726c91d9727174b648cebe,0x06e14b037650e6d7c5e6a8eb329e1b44e2d7650c,0x43b4fba85628566d62a3b83c8f1df309bcf08983,0x2ee6af0dff3a1ce3f7e3414c52c48fd50d73691e,3687,4.23e+16,211500000000000,0
17000405,0x3800f5cc168bbc593fb2deae39944d8852d8805cd5338fe447dd2c8d0a66f12b,0x04bc337f14ad1f7ed42a03f89c5e44ef1ce792f9,0xcc6096439d445fb8e0a988fd8fc1817120b3de4d,0x762bc5880f128dcac29cffdde1cf7ddf4cfc39ee,8868,5e+17,2500000000000000,0
17003740,0x0e5c655384418098bc07c40af649394ff2f3d51151775df6b315c11ac1a52fa3,0xa854772db43b52d7b456c2b5a40bd41627b316c2,0xc935aaa23734fce35843829d2a39c3920172a0d6,0x595a8974c1473717c4b5d456350cd594d9bda687,11467,4.975e+20,2487500000000000000,0
17002686,0x572e2b3741efc9ea41b90e9bb95a15700139df6359ddb344e699013e4a4aeef1,0xaf6376e68437ee82d1e0e47ae9c217f35681074c,0xa2a9234dd5db7be6c31372b51f2b1328cf28b407,0x03b8d129a8f6dc62a797b59aa5eebb11ad63dada,2262,1.171e+17,585500000000000,0
17003734,0xf0a2211bbee83745a59a18a5d453e9b03d4b9cb62f96fa954a882da0e7501446,0xc935aaa23734fce35843829d2a39c3920172a0d6,0xa854772db43b52d7b456c2b5a40bd41627b316c2,0x595a8974c1473717c4b5d456350cd594d9bda687,11755,5e+20,2500000000000000000,0
17003993,0x316c5b2ccd73c6c29e194cae20198cd7b6ac6a6c862b71f69e52c54b46bf6c71,0x51768b7ca1f0e82c68c240b981f7433b65fd5629,0x120ef8f2485750aeedc1d5619d87e8360166e491,0x8dcb8b2d721c022552d826f8bcf2995747248d31,486,1e+16,50000000000000,0
17002746,0xe1eeb5c4b15fc814bd5e10832779bcd770541b3bb374eec73996e9c7a83e509c,0xaf6376e68437ee82d1e0e47ae9c217f35681074c,0xa2a9234dd5db7be6c31372b51f2b1328cf28b407,0x03b8d129a8f6dc62a797b59aa5eebb11ad63dada,1741,1.258e+17,629000000000000,0
17001154,0x0a2bf893af1f2c12e43e5ce71fb994921cac5c4b9df7e99f25c5e3b59494c2f4,0x06e14b037650e6d7c5e6a8eb329e1b44e2d7650c,0xf8442ae38a8246f425b7928fb60fd61bbdf5d459,0x2ee6af0dff3a1ce3f7e3414c52c48fd50d73691e,4120,4.22e+16,211000000000000,0
17002726,0x757b19eaa3bec734450b3e02e9dd72c86a822f746f702bbf5c9fefee325f274e,0xaf6376e68437ee82d1e0e47ae9c217f35681074c,0xa2a9234dd5db7be6c31372b51f2b1328cf28b407,0x03b8d129a8f6dc62a797b59aa5eebb11ad63dada,1997,1.181e+17,590500000000000,0
17002693,0x1bb237727108a12eabb4c2ce03d5399a70fb8ec8374e4fba66996c1a031d0754,0xaf6376e68437ee82d1e0e47ae9c217f35681074c,0xa2a9234dd5db7be6c31372b51f2b1328cf28b407,0x03b8d129a8f6dc62a797b59aa5eebb11ad63dada,2577,1.176e+17,588000000000000,0
