mintReferrer,mint_date,total_mints,successful_mints,failed_mints,total_reward
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-12,6,6,0,0.000666
0x98d62dd170d9b8979bddb98ae6bb6f7640a82ad3,2023-12-11,8,8,0,0.000888
0x0000000000000000000000000000000000000000,2023-12-11,6,6,0,0.000666
0x0000000000000000000000000000000000000000,2023-12-10,30,30,0,0.00333
0x0000000000000000000000000000000000000000,2023-12-08,2,2,0,0.000222
0x0000000000000000000000000000000000000000,2023-12-07,6,6,0,0.000666
0x0000000000000000000000000000000000000000,2023-12-06,4,4,0,0.000444
0x0000000000000000000000000000000000000000,2023-12-05,22,22,0,0.002442
