mintReferrer,mint_date,total_mints,successful_mints,failed_mints,total_reward
0x0000000000000000000000000000000000000000,2023-12-10,6,6,0,0.000666
0x0000000000000000000000000000000000000000,2023-12-09,4,4,0,0.000444
0x0000000000000000000000000000000000000000,2023-12-07,2,2,0,0.000222
