blockchain,project,version,block_date,tx_hash,evt_index,sub_idx,nft_contract_address,token_id,buyer,seller,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw
arbitrum,opensea,v3,2022-09-23,0x6d1c85d0b2e5992f7771dcc33455f37db889fba76988480d9e7819f186ab5e06,0,1,0x2a4730b0bd1bb9e06f365c15403fa264119d9a51,6364,0xaa312eb19552f924dfc47bfefe47f35a902fc595,0x5fa98b2545710bc4bd0e0ac57b8efd8d3c50ceab,990000000000000,24750000000000,99000000000000
arbitrum,opensea,v3,2022-09-23,0x16eab415701d1bb5ef66396ee676ff9a10ca112fced41195333aa23a6d613e65,0,1,0x642ffab2752df3bce97083709f36080fb1482c80,32796,0xae0edff62177152d8fea78c57b022e513f86a5c2,0xf54dc01a59c5333617d03aef49aa1d2357c5f68a,21000000000000000,525000000000000,
arbitrum,opensea,v3,2022-09-23,0xa9a5c08da80e1b450bfd7cb56fafc178c36fd7280c6a9d9159508429565ed2ef,0,1,0xb07b371bf4f4634cf816051d2ee741164d4203fc,31080,0x012db66110d211e5aa15171b15265384f22fd1de,0x9ec3161bd0eb90225129b1376a269023b4bc4665,150000000000000,3750000000000,
arbitrum,opensea,v3,2022-09-23,0x1869f5e27e81654fb218c087417a0ad68c3ea302742c5af833e692f7d3f6659e,0,1,0x9fd5b98251becfbf66bead6035fd5c95afdb8bb1,193,0xf1ea4eaea0f6b0a12a4795b5e857ecda6dae21c6,0xe981e2a9a49c82a22fe5e44e58c8523c8d622792,100000000000000,2500000000000,
arbitrum,opensea,v3,2022-09-23,0x409fed8268db78513d0b329368c640dd879ad7219bce304646936708b36db773,0,1,0x642ffab2752df3bce97083709f36080fb1482c80,33572,0xc1ac3133e13355f6e41807da6b5d5dfae77f60f9,0x61e6f8812198e172a6104f8c956e4b58859bfab8,13300000000000000,332500000000000,
arbitrum,opensea,v3,2022-09-23,0x7701e95fd7b0bce93b374507bd3d10d4033ef64724161f34baf4505c3dd7b756,0,1,0xe00cc435fff6331963bfc2d984009be524c282c8,411,0x97dbf4d74fccca9767d9243a1380adfc000c3638,0x8431eb65dedc382b9aae759dc0488cc12a29f9cb,40000000000000,1000000000000,
arbitrum,opensea,v3,2022-09-23,0x905b9b8bb024051a48e0592e588761744ed4b87c3cd348862b5505495fec759a,0,1,0x55df058c5934ba3f1ffcf6c726e75659009f0983,1701,0xc1ac3133e13355f6e41807da6b5d5dfae77f60f9,0x508f159b415dd59eccf9e738f67e8c854d475c0e,2999900000000000,74997500000000,99896670000000
arbitrum,opensea,v3,2022-09-23,0xd6eeb93fb6d317cc189dd19891db352d292d02080af505d9a455995201894f27,0,1,0xe00cc435fff6331963bfc2d984009be524c282c8,480,0x3ce8ce4a5ee7d6ef768df4ad35bf245e0d0314db,0xe981e2a9a49c82a22fe5e44e58c8523c8d622792,40000000000000,1000000000000,
arbitrum,opensea,v3,2022-09-23,0x59fe0f30fc5eb3d9ca268f15381151010e3fbf0ec2dd7c6e8f08318ca22186ac,0,1,0xb07b371bf4f4634cf816051d2ee741164d4203fc,59058,0xaf21854d58550db12aad2b8e9dd3a08414edd120,0x412dd131438d86c088bde31b6feb5616e3dd0566,150000000000000,3750000000000,
arbitrum,opensea,v3,2022-09-23,0x3a636652ebf24620ffb8ff9fe1d1252c40e833a9d074574a08bac51879f5c8c3,0,1,0x642ffab2752df3bce97083709f36080fb1482c80,4575,0x940459a510b2f4ad950795d4a47941391628bf0d,0x537789a5cd977c0161a36c73b8154f313ce86028,17500000000000000,437500000000000,
arbitrum,opensea,v3,2022-09-23,0x2ad4fd12398f49047d4a33ca5e55e3808c56e504d2b4ae2d1cab4071ec404331,0,1,0xe00cc435fff6331963bfc2d984009be524c282c8,49,0xd19fd69bfdc2651272c523df8408738bc1f93104,0xe981e2a9a49c82a22fe5e44e58c8523c8d622792,40000000000000,1000000000000,
arbitrum,opensea,v3,2022-09-23,0x08553b9bcb1f8ba7b0b2e47c6a09f737f4b32fbe6c47d2546232f359f7b2845b,0,1,0xe00cc435fff6331963bfc2d984009be524c282c8,48,0x9421a58872b8e4bf6287b26295f64719f5283b89,0xe981e2a9a49c82a22fe5e44e58c8523c8d622792,40000000000000,1000000000000,
arbitrum,opensea,v4,2023-03-16,0x0bfef583027f29d2f316120902600de7f2b1e9235d6df3a97b80cbb43fe07c83,10,1,0x652d66fe218a7c33808b7d6a7db6a54e2f9f4a51,989,0xad2365dff389fc05db964e36d3bb80baf755d016,0x80c69f62ff8258f58c56a587fb02a03d59a50e39,4900000000000000,24500000000000,245000000000000
arbitrum,opensea,v4,2023-03-16,0xf7484562aab1a1cf0478db3e96d8911bb9991f38f72d5940eaf964edc582d896,2,1,0x10c67db7876306fd4dc246184611625a77c7440c,9620,0x0452ae1f57b02f390b603a60f21608758689727d,0xf2ecaaf3af6c21144d2ebacc855d84fad6b1595f,1200000000000000,6000000000000,60000000000000
arbitrum,opensea,v4,2023-03-16,0xa20a5f38f4c5c9cb5b3902f0c8adea697df5a1c078480cd925b47d37a4c15c40,4,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,218668,0x9178deac61d49d30f5b49b1fb687312bbf9d960b,0x4773b2577e2166ee3f7e21381f4ecf6a7535fbb1,5900000000000000,29500000000000,
arbitrum,opensea,v4,2023-03-16,0xa20a5f38f4c5c9cb5b3902f0c8adea697df5a1c078480cd925b47d37a4c15c40,3,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,372894,0x9178deac61d49d30f5b49b1fb687312bbf9d960b,0x7b6d789390e979eef34737e242a8ba8c93a6666c,5800000000000000,29000000000000,
arbitrum,opensea,v4,2023-03-16,0xa20a5f38f4c5c9cb5b3902f0c8adea697df5a1c078480cd925b47d37a4c15c40,5,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,14261,0x9178deac61d49d30f5b49b1fb687312bbf9d960b,0xadb1dcabfcdd8e60457e4c856214f471cd41b178,6400000000000000,32000000000000,
arbitrum,opensea,v4,2023-03-16,0xa20a5f38f4c5c9cb5b3902f0c8adea697df5a1c078480cd925b47d37a4c15c40,2,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,263656,0x9178deac61d49d30f5b49b1fb687312bbf9d960b,0x3a33e605008433f1eda7bd5c65befa9fccd8c344,5500000000000000,27500000000000,
arbitrum,opensea,v4,2023-03-16,0xa20a5f38f4c5c9cb5b3902f0c8adea697df5a1c078480cd925b47d37a4c15c40,1,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,214352,0x9178deac61d49d30f5b49b1fb687312bbf9d960b,0xb1d65729bd421a15c12880c62113445f602bc7ff,5400000000000000,27000000000000,
arbitrum,opensea,v4,2023-03-16,0xa20a5f38f4c5c9cb5b3902f0c8adea697df5a1c078480cd925b47d37a4c15c40,0,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,26139,0x9178deac61d49d30f5b49b1fb687312bbf9d960b,0xaa6c7b556449e1d5a75b6322a256180edd1c8edc,5200000000000000,26000000000000,
arbitrum,opensea,v4,2023-03-16,0xbce61db764fc9318153f15c279a19c6011365f502fcdbf6c3ea91ec94c6f4d9d,7,1,0x3ecc587ef402b5e00a9767d6f9670b463de2e177,4294967298,0xf7cb0b1bffa994c71811a72d777e94ed480105a2,0x7e335a2f5c91debac9e5af002dc17c5c747c017e,146000000000000000,,7300000000000000
arbitrum,opensea,v4,2023-03-16,0x36b46f8f6c96080fcaabc586e9038037f748e97532971cc0e7a6b54846007f7d,0,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,210105,0x7ad28ffa81c91c758ba48f26270c8df5b76f6198,0xa6d599a1c10d5517c97edf46857deb5795dd1576,14700000000000000,73500000000000,
arbitrum,opensea,v4,2023-03-16,0x583b92e180038ada4fa1cb2ed6bd172d6d7d32a1c799b0bd3949995b48d4a570,6,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,405228,0x96e1877e833a3297326178625028eab7fd57ff71,0xeb4f3dec696f3234d2347ecdf41b7d6a969641bf,4200000000000000,21000000000000,
arbitrum,opensea,v4,2023-03-16,0x577f53e8d058d16683f83a6452c847b1ac377d789a11d63359b7d06ef8b0559e,0,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,322474,0xb3a0b9f56cb12328b1143cf969d40e01c3730c6a,0xc9879d3cfc7d71a90d39230e058d287c438c81c9,4100000000000000,20500000000000,
arbitrum,opensea,v4,2023-03-16,0x37691a2fe0b3d9c078023cefe9158690790d9e9a7f76359f0efd45a73fae1a20,2,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,272813,0x383c1e458b1885e2e16a7bd2b13abd46b447da3b,0x0f476f28479a24e7a1917123be0b5434095849c6,4300000000000000,21500000000000,
arbitrum,opensea,v4,2023-03-16,0xb22a6a71e58770100c4ed749c38373a2368d46334f962d8a34eb6ad7c5c84141,0,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,405650,0xe3eb37be2f3f363562ad04eeba9b9ce67722cb81,0xbcf0b928fd4b3906ec18f227f9d46e539c0b2173,4200000000000000,21000000000000,
arbitrum,opensea,v4,2023-03-16,0x29c10ea00299d8e128a640c16cc51cef37a6ac87ceb37dda16d5cb96b54eb7ed,0,1,0xfae39ec09730ca0f14262a636d2d7c5539353752,275625,0x9219630ff1f382429ba29abbf6754d26e1e9aac7,0x2d5d8eb41abc1fc50dccc36c5029ea46e5301b59,4100000000000000,20500000000000,
arbitrum,opensea,v4,2023-03-16,0xd49e4f614d5e253fb3d8efc14d449791d896ec6154a0aed79564c9b44b7ff977,0,1,0x0b6f1ea63e959bffe87eaf56a4ac7b9fddfb6abf,32393,0x4ddc9139099209e8437a33652e5203f2fd092c68,0xa3f9a6da1c45a54a0d5acd4edad705ac94d8a4e6,700000000000000,3500000000000,21000000000000
