blockchain,proposal_id,voter_address,votes
ethereum,13,0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,7900000
ethereum,16,0x2b08869b3e1855437fda94867f4c6da0122b2f86,4610000
ethereum,24,0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,15000000
