blockchain,project,version,block_date,block_time,seller,buyer,trade_type,trade_category,evt_type,nft_contract_address,collection,token_id,number_of_items,token_standard,amount_original,amount_raw,amount_usd,currency_symbol,currency_contract,original_currency_contract,currency_decimals,project_contract_address,platform_fee_receive_address,platform_fee_amount_raw,platform_fee_amount,platform_fee_amount_usd,royalty_fee_receive_address,royalty_fee_amount_raw,royalty_fee_amount,royalty_fee_amount_usd,royalty_fee_receive_address_1,royalty_fee_receive_address_2,royalty_fee_receive_address_3,royalty_fee_receive_address_4,royalty_fee_amount_raw_1,royalty_fee_amount_raw_2,royalty_fee_amount_raw_3,royalty_fee_amount_raw_4,aggregator_name,aggregator_address,block_number,tx_hash,evt_index,tx_from,tx_to,right_hash,zone_address,estimated_price,is_private,sub_idx,sub_type,unique_trade_id
polygon,seaport,v1,2022-11-11,2022-11-11 04:59,0x17025c896ecd7a8fe502617b6c631f28bda76704,0xd5b60a2ae59986e50a9552003b5d66c30f1a25ba,Single Item Trade,Buy,Trade,0xc70a7496716b3e25546901fe88215531abbd5a10,,238,1,erc1155,0.05,50000000000000000,,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,1250000000000000,0.00125,,0x87991518bb8c06345f768062abec1636149220a6,2500000000000000,0.0025,,0x87991518bb8c06345f768062abec1636149220a6,0xa7ee97f9a2a7f49dcfc26432345bdf696e02595e,,,1250000000000000,1250000000000000,,,,,35465537,0x3b07e05c0a0fe80e5793a9395a4b844780b7a33852aedafd1196be7cc05bba69,23,0xf408bee3443d0397e2c1cde588fb060ac657006f,0xd5b60a2ae59986e50a9552003b5d66c30f1a25ba,00000000,0x0000000000000000000000000000000000000000,false,false,1,offer,seaport-0x3b07e05c0a0fe80e5793a9395a4b844780b7a33852aedafd1196be7cc05bba69-23-0xc70a7496716b3e25546901fe88215531abbd5a10-238-1
polygon,seaport,v1,2022-11-11,2022-11-11 17:51,0x30523df27179971c41c4ae8b9a9b30aaca9a75a8,0xbc3a956a05808799f3ef9b1b1eeeec56f8d89e21,Single Item Trade,Buy,Trade,0x622d8fea4603ba9edaf1084b407052d8b0a9bed7,,2811164,1,erc1155,0.7,700000000000000000,0.7189167999999999,MATIC,0x0000000000000000000000000000000000001010,0x0000000000000000000000000000000000000000,18,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,17500000000000000,0.0175,0.01797292,0xefaabd0ac76607325bb342a48e34284d2870c211,35000000000000000,0.035,0.03594584,0xefaabd0ac76607325bb342a48e34284d2870c211,,,,35000000000000000,,,,,,35486035,0x3ac8fd48d6226e6136f900ed10e879a1f9b862e80710b3130676bda3f869bb82,366,0xbc3a956a05808799f3ef9b1b1eeeec56f8d89e21,0x00000000006c3852cbef3e08e8df289169ede581,360c6ebe,0x0000000000000000000000000000000000000000,false,false,1,offer,seaport-0x3ac8fd48d6226e6136f900ed10e879a1f9b862e80710b3130676bda3f869bb82-366-0x622d8fea4603ba9edaf1084b407052d8b0a9bed7-2811164-1
polygon,seaport,v1,2022-11-10,2022-11-10 21:00,0xffa5b82d15ce9b3b56486faf05364d9b52eaacae,0xe1b27589760a6bda4e77f0720d7319926bb10754,Single Item Trade,Buy,Trade,0x622d8fea4603ba9edaf1084b407052d8b0a9bed7,,2010493,1,erc1155,0.19,190000000000000000,0.21559376,MATIC,0x0000000000000000000000000000000000001010,0x0000000000000000000000000000000000000000,18,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,4750000000000000,0.00475,0.0053898439999999995,0xefaabd0ac76607325bb342a48e34284d2870c211,9500000000000000,0.0095,0.010779687999999999,0xefaabd0ac76607325bb342a48e34284d2870c211,,,,9500000000000000,,,,,,35451871,0x39b84a27dfdbcb67a797913b5db678af3e3abfbc6f7020eee74450f00f4be33f,265,0xe1b27589760a6bda4e77f0720d7319926bb10754,0x00000000006c3852cbef3e08e8df289169ede581,360c6ebe,0x0000000000000000000000000000000000000000,false,false,1,offer,seaport-0x39b84a27dfdbcb67a797913b5db678af3e3abfbc6f7020eee74450f00f4be33f-265-0x622d8fea4603ba9edaf1084b407052d8b0a9bed7-2010493-1
polygon,seaport,v1,2022-11-14,2022-11-14 08:49,0x1b34bc6e87d79ce7d08d7d6b4f923ede6bd53fd0,0x03b554e6f75c750a8e3affe2ffa23332d0ea7a78,Single Item Trade,Offer Accepted,Trade,0x22d5f9b75c524fec1d6619787e582644cd4d7422,,419,1,erc1155,0.03511,35110000000000000,,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,877750000000000,0.00087775,,0xb7265b71faf21454769921cb99f3598650cec685,1755500000000000,0.0017555,,0xb7265b71faf21454769921cb99f3598650cec685,,,,1755500000000000,,,,,,35589656,0x0f7c442845f58bf9e1eec90b6e2c399a7af961ef4f7df192ecfeb62140e3dc59,9,0x1b34bc6e87d79ce7d08d7d6b4f923ede6bd53fd0,0x00000000006c3852cbef3e08e8df289169ede581,360c6ebe,0x0000000000000000000000000000000000000000,false,false,1,consideration,seaport-0x0f7c442845f58bf9e1eec90b6e2c399a7af961ef4f7df192ecfeb62140e3dc59-9-0x22d5f9b75c524fec1d6619787e582644cd4d7422-419-1
polygon,seaport,v1,2022-11-15,2022-11-15 14:32,0x6646773eaaa76a1b6083849eb4607b7d418c610a,0x0ee8a7de00b82f8fc99263e9f42b09cf415b9911,Single Item Trade,Offer Accepted,Trade,0xee52cb4dda48dab025e911edbebbc843881a36c3,,0,1,erc1155,0.003,3000000000000000,,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,75000000000000,0.000075,,0x3e7c366b53b0f506644cdf72df5d3b0bc5536711,300000000000000,0.0003,,0x3e7c366b53b0f506644cdf72df5d3b0bc5536711,,,,300000000000000,,,,,,35640683,0x118f3b30ce59a860da92b139fda2287d28572ce19642ac513fe482b66dd0db57,289,0x6646773eaaa76a1b6083849eb4607b7d418c610a,0x00000000006c3852cbef3e08e8df289169ede581,360c6ebe,0x0000000000000000000000000000000000000000,false,false,1,consideration,seaport-0x118f3b30ce59a860da92b139fda2287d28572ce19642ac513fe482b66dd0db57-289-0xee52cb4dda48dab025e911edbebbc843881a36c3-0-1
polygon,seaport,v1,2022-11-09,2022-11-09 03:36,0x81b53dd9c7627d825c5fca066d8d611412c7cce4,0x57b8734f103eeead3a699656e2c2ef031aed9508,Single Item Trade,Offer Accepted,Trade,0xa9a6a3626993d487d2dbda3173cf58ca1a9d9e9f,,10034466110987136190011058609656181567800507902337333604860695558114794602882,1,erc721,0.00493,4930000000000000,,WETH,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18,0x00000000006c3852cbef3e08e8df289169ede581,0x0000a26b00c1f0df003000390027140000faa719,123250000000000,0.00012325,,,,,,,,,,,,,,,,35380577,0x1ce4882b8210cfc1c6cdfbd4b883bb0b38a7c23fb996fbb155c8de476c2a43ca,154,0x81b53dd9c7627d825c5fca066d8d611412c7cce4,0x00000000006c3852cbef3e08e8df289169ede581,360c6ebe,0x0000000000000000000000000000000000000000,false,false,1,consideration,seaport-0x1ce4882b8210cfc1c6cdfbd4b883bb0b38a7c23fb996fbb155c8de476c2a43ca-154-0xa9a6a3626993d487d2dbda3173cf58ca1a9d9e9f-10034466110987136190011058609656181567800507902337333604860695558114794602882-1
