tx_hash,taker,taker_token,maker_token,taker_token_amount,evt_index
0x30007dcab50915bad5fd95c3d49df4f25f9f64f321dc78f12fb18fc65410c5c3,0x5093ef099346ffe58283207e221dada47bfd862a,0x8b2eea0999876aab1e7955fe01a5d261b570452c,0x4200000000000000000000000000000000000006,26167250367978658863,68
0x30007dcab50915bad5fd95c3d49df4f25f9f64f321dc78f12fb18fc65410c5c3,0x5093ef099346ffe58283207e221dada47bfd862a,0x4200000000000000000000000000000000000006,0x8b2eea0999876aab1e7955fe01a5d261b570452c,9909816262658394,29
