blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount,block_number
bnb,dodo,1,2022-01-02,0x520b133f33a11da463ef652c2204e89056384f3755aa17ed3bd8692a708e2daf,9,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,15000.0,0xe9e7cea3dedca5984780bafc599bd69add087d56,14999.373075377123,14014204
bnb,dodo,1,2021-12-08,0x5a3656a980ff18ea51639ec55b909e06c05447296ad41234cce2a6504e7e3cd1,555,0xe9e7cea3dedca5984780bafc599bd69add087d56,6499.127981081047,0x55d398326f99059ff775485246999027b3197955,6493.88249982855,13309177
bnb,dodo,2_dvm,2022-10-27,0x1b313c2256a8fe451949711d34dfadf49b33e6e49fa95564394c764f1fa10a96,138,0x4a9a2b2b04549c3927dd2c9668a5ef3fca473623,16153.846153846154,0xb5102cee1528ce2c760893034a4603663495fd72,804.7505008944851,22543189
bnb,dodo,2_dsp,2022-01-28,0x0adbde9ea212758528e872e94cd4056e77aae00d64a270df9cd10adef1a43883,185,0x2c30b4cb4b3001afa5b8c43c5a7ca548067562a0,282.61385074773614,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,282.357407285385,14760669
bnb,dodo,2_dpp,2022-12-18,0x5425c84608187bfd827a076b30760402987276fdcc5168b4b9cce30ac531752b,15,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1.4460644851563125,0xe9e7cea3dedca5984780bafc599bd69add087d56,350.17016117475544,23999995
bnb,dodo,2_dpp,2022-12-18,0x8a13bf64a7c9b5db044f3771b6a654e822c37434f55d1e41d8b5a7808221835b,40,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,1.8608918052876904,0x55d398326f99059ff775485246999027b3197955,451.188016684804,23999994
