blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount,block_number
bnb,sushiswap,1,2021-11-01,0xc66fb80242b7c788c2896b3dc8c611203771be9474d18f85cb2032d594de327c,830,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.07525109648,0x049d68029688eabf473097a2fc38ef61633a3c7a,43.351292,12283888
bnb,sushiswap,1,2021-11-01,0xffc3e47949b600ee61d7b3b7b57da6137ed4c55652da396d02ff3ece60bfdd9b,591,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0.01789196956,0x049d68029688eabf473097a2fc38ef61633a3c7a,9.541071,12283888
