block_month,object_id,version,block_date,timestamp_ms,checkpoint,owner_type,receiver,coin_type,coin_balance
2025-12-01,0x42509ffc9991dc6e4cc6f102df14d2338e6520575f3bed7daa26d4f27806c133,718460539,2025-12-13,1765653792900,222729162,AddressOwner,0xbb9429a6f3beaeca156e2a84e8794e0a1438f6be457f7f2634fb570f3356bc20,0x65ed6d4e666fcbc1afcd9d4b1d6d4af7def3eeeeaa663f5bebae8101112290f6::xflx::XFLX,65665191029
2026-01-01,0x42509ffc9991dc6e4cc6f102df14d2338e6520575f3bed7daa26d4f27806c133,766276120,2026-01-29,1769657465004,239444822,AddressOwner,0xbb9429a6f3beaeca156e2a84e8794e0a1438f6be457f7f2634fb570f3356bc20,0x65ed6d4e666fcbc1afcd9d4b1d6d4af7def3eeeeaa663f5bebae8101112290f6::xflx::XFLX,0
