block_time,tx_hash,price_amount_raw
2023-01-04 15:18:59,0x1d1d34afea2d9f67ec0d9a33f19602ab208e59af3042a952eb02af19321a5d14,10000000000000000000
2023-01-05 19:46:27,0x33b791a02d8ccc4a76f4d62fa54eed0aa811037f7b5e20b48c2bea6df8faa046,270000000000000000000
2023-01-07 04:13:47,0x8a41654405242144c21dc996361073eb20e76d331500a99987c32ac6f5f3631b,150000000
2023-01-03 23:04:17,0x8b279b9ae914d2ef9f64bc4431765b622f6d600dc577000a710d40abe209bce1,6500000000000000000
2023-01-05 13:47:17,0x1a08a3f45fa812e5ca8e423ce3eb8d8c1374e0f9e2b6dee7e416f64820ede270,95000000000000000000
2023-01-03 03:19:35,0x219dfda000fc8ca842ebd5f483e37183ec11e403d11e4b4f9dee87256457f89f,705000000000000000000
2023-01-03 00:46:41,0x55570bff3316f55ef87dbfdbc4b87097812eb4dba14e0b89dd30a689698b724f,5000000000000000000
2023-01-09 14:34:01,0x68539622ed20bac68edc9d4eb5578856b27ec114b71ddb159ee46de85dd43cc9,10000000000000000000
2023-01-06 23:49:34,0x7d3d4fbd48a2e584d91150c0c8c52fd7570c5df44b1164736aa38b0ab58f8b10,299000000000000000000
2023-01-08 07:06:59,0xaa3ec864da2cb88bfdde9be1ecbe62ea915080afa004b8f4d40d8a20696b210b,167000000000000000000
2023-01-03 18:13:08,0xe4f410fe2f8bd43f1eaaf26df6039ed8071fe754039e5bc935b580d5cfd498b1,180000000000000000000
2023-01-05 23:53:40,0x1cb11df8d5c349bcdef7e083dd541d8cb77871b4dbac0f07669f50acffb8f9cf,3200000000000000000
2023-01-06 14:00:12,0x6952b6b27425c3f0d79e7d7c2957f92b9e9b6fbee74bd27aafdd474b1cd78359,179000000000000000000
2023-01-03 02:04:09,0x3f12a0fd4a7d884871f3b121ab0c1475d0c6c5a188acf51c28c7b9e79e93c696,2500000000000000000
2023-01-08 06:52:43,0x40897b1aa54e8aceb148ea9d319bc43be68bb4315fbae0d6df2354ff6551731e,150000000000000000000
2023-01-04 15:18:01,0x567da0b0ffa0f88d082431e193d723e55ccb950d300072cd326737ed6a86b5eb,10000000000000000000
2023-01-06 09:55:19,0x997ae0582d1177ffd709e41b9d6ac80963374236d169bd8c306f7efd6ab7ff6c,6000000000000000000
2023-01-04 13:01:57,0xbd217079b3919db33e640ae6b36159474699e149f4e98cb71ed66c38e939cab1,10000000000000000000
2023-01-06 16:50:16,0x17501430ed20e094e97cc1e10a4f38f3db9ae9fb48822577ef91c0d2994570cb,20000000000000000000
2023-01-07 16:49:32,0x1cf4ca703d309690a312342b36d8706768ea1c458afe87ec90d7b0bff8966a5d,27000000000000000000
2023-01-09 21:02:28,0x522856b0b8d93879d99d913c4d372de3b96c5d1603a2e80f6c1c90cd3fc1447e,175000000000000000000
2023-01-05 06:30:01,0x9e76d6839326d4f0d21c5f11e1a183521754645d2506a3b50a5b6bcf548efe5d,450000000000000000000
2023-01-04 07:35:45,0x4faf1a26ec001a9c6f734f745f40c7c73cad687041622408023ed8322b1563f2,165000000000000000000
2023-01-02 22:13:27,0x66ba6d9f8bdceeb9bb5f5667f5c6c4160641c4b16fae280b1b720400d398f25a,150000000000000000000
2023-01-05 00:05:41,0x98e52fcd2e3b3df11bdb546b3c4f26c6f891d030026b9706fd7eec3819e39869,910000000000000000000
2023-01-03 00:34:23,0xcdc93d56e5f8b9e9df43000f06af695c305e4f7eaa4c6704b5bd474849823589,10000000000000000000
2023-01-05 13:51:59,0xef005979e849b72bc735d8c1c856c154f355f3359802c96c4558c3253a4cd1d7,97000000000000000000
2023-01-05 08:28:23,0x0c2dcd80140d8b41de47f34771d6e395f8bfd881bd9b12ece811db0de4595fb6,200000000000000000000
2023-01-06 17:35:28,0x432a7ed5d3c9fc9b69b1f6e3f742b424ae59d5cc0b061d04b5940c31430b3ebc,44989000000000000000
2023-01-02 11:28:57,0x96574422b376a2f74492ab809a86f4d000805a363a79c6cc07796b49040c26e6,13000000000000000000
2023-01-08 18:49:00,0xae8be10b4efa6784776f68c32ab7ddf2a36b4dcdc4e319ba091d42c9860ad1fa,450000000
2023-01-07 15:45:12,0xce365dbea58e2ad9431e7530ee791d5c1cbc31757ea77904c4ca0647db717530,10000000000000000000
2023-01-09 14:35:09,0xaff0d038f3b81fb966bf6d2e9c7e716b707572ab5398fec3274d9b805d993493,9500000000000000000
2023-01-04 15:11:27,0xff4331e795be5e0e532c8cd91e7d93b80b41b054f65562211f84785f11a84c6b,25000000000000000000
2023-01-02 14:20:31,0x036e24986b64aefc4b7aadc5f59757ff190a7c2e4ff1cc98389f4a02b6a569d1,6000000000000000000
2023-01-07 11:20:25,0x10f042a263fe7a88d4310a5d2ade6e70257419fdf72667febee4402d6ae2cf61,200000000000000000000
2023-01-07 12:18:06,0x59433df5692eee8eaff0b13b787392cb2ebcbf4e3b149f0b2a3644e97c645049,2000000000000000000
