date,usdc_aum,wavax_aum,usdc_e_aum,wbtc_e_aum,weth_e_aum,btc_b_aum,mim_aum
2022-09-15,20359495.092885,9139437.264025450,18949462.097249,5275517.461833140,9923004.880756570,3682886.94873612,
2022-09-16,20327050.875974,10213184.544083200,18440021.732571,5380028.203142070,9634671.401911410,3602886.7823531800,
2022-10-02,18550991.045606,8400057.012578640,16011300.961939000,5558251.477643570,10862348.138021200,3504503.479524540,30.28134091605100,
2022-11-23,22947279.619491,3102913.043526760,3876351.833615,4050348.922377000,8862463.439019350,6946477.486910070,
2022-11-30,23320900.741737000,3079048.8633439200,3811378.7381480000,4300021.060141570,10836726.962898100,7052581.343771390,
