tx_hash,block_time,name,contract_address,to,from,ingress,egress
0x85a15ffbbec6bf52d03630dd56decedccd5dda78107e772e108ea2446b3adb4e,2022-08-16 17:54,nxmty,0x27f23c710dd3d878fe9393d93465fed1302f2ebd,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,0xcafead1b3a9b57fe2a59cd5d44de9bd54571b1bb,1,0
0x1eb3001329a8bd5f7120ca25977a428a3baaf472e7af711a302493390570ba9b,2022-08-16 18:05,nxmty,0x27f23c710dd3d878fe9393d93465fed1302f2ebd,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,0xcafead1b3a9b57fe2a59cd5d44de9bd54571b1bb,15347.00151974104,0
0xaa6adcd1724e5252926cbad1205b12a8050b39a131a88e7c7f948cecfd9748b3,2023-03-09 17:57,nxmty,0x27f23c710dd3d878fe9393d93465fed1302f2ebd,0xcafea112db32436c2390f5ec988f3adb96870627,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,15348.00151974104,15348.00151974104
0xaa6adcd1724e5252926cbad1205b12a8050b39a131a88e7c7f948cecfd9748b3,2023-03-09 17:57,Lido: steth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xcafea112db32436c2390f5ec988f3adb96870627,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,32036.29029271877,32036.29029271877
0x8a127001d3a7840206bef53870209f7f9c6b3df9fd2ba9e872b2ed18728e6d22,2021-05-27 16:08,Lido: steth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,0xcafea19bb9ab657f8ea74363c937446c0846a320,14998.000000000002,0
0x5afe54104e9932c3d7390df71416eb41e4ffe915e2c33e9d560b69234e332539,2021-10-05 09:13,Lido: steth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,0xcafea19bb9ab657f8ea74363c937446c0846a320,14713.300000000001,0
0x975869ccb6b4b03ccbfb62555e452cc56d7182038f6b0d58e6ee92e4f6507d1c,2021-05-26 17:25,Lido: steth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,0xcafea7191d1b8538076feb019b092a53dc4dcdfe,1,0
0xb9a08968156ce84fdbfd3279d6874456cb4aaf38c70b48f9653820a9adff46c4,2021-05-27 16:07,Lido: steth,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,0xcafea19bb9ab657f8ea74363c937446c0846a320,1,0
