blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount
ethereum,xchange,1,2023-06-04,0x3d33d3621f947397d07b1360b4f8bbaf47b4266498aa08ff7bcf5ef433dd15f1,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,350.310350040002484558,0x7102dc82ef61bfb0410b1b1bf8ea74575bf0a105,16740.414870869491102082
ethereum,xchange,1,2023-06-04,0xb9cf9af8c09ee4b01f7998e4d09b5732e3d59db577453d8f649c3368a5be4723,3,0x7102dc82ef61bfb0410b1b1bf8ea74575bf0a105,16740.414870869491102082,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,349.842891200744390656
ethereum,xchange,1,2023-06-04,0xdca9e79f3d41644b579994c0e62f73e8741605b85bb9a80fcc6d173180fd891c,26,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,264.386114548212846651,0x7103ebdbf1f89be2d53eff9b3cf996c9e775c105,16740.857191421503408067
