block_number,tx_hash,sub_tx_trade_id,buyer,seller,nft_contract_address,nft_token_id,price_raw
8143917,0x1cca2c2f9478380bc9df02ac3e9f79ab207e308efce7f708868040d875e82d4d,50,0x0f3aedfe4f2938a908ee0a5627d28c2ff55a1f01,0x4955befb7c543bf26b26914f3c8d6d2884a10970,0x8927985b358692815e18f2138964679dca5d3b79,6180,2000000000000000000
43766170,0x84dd8db27fa87cf533185b1cbe9d87b13cd1f2ecefa3a89e219847e144d1e91e,9,0xc7f204cc60deca0995a5d075c298a5b068bee3a7,0x78f7655d27cccb86200223a1b7b46e0ba8baa5de,0x8927985b358692815e18f2138964679dca5d3b79,1930,13500000000000000000
