blockchain,block_date,block_number,tx_hash,tx_from,tx_to,gas_price,gas_used,currency_symbol,tx_fee,tx_fee_usd,tx_fee_currency,block_proposer,max_fee_per_gas,priority_fee_per_gas,max_priority_fee_per_gas,base_fee_per_gas,gas_limit,gas_limit_usage
avalanche_c,2025-03-09,58456194,0x50b0db497924466003c9cff7a1f1e9cc7f9709a556287dd98d6002ca6497ffec,0xe37f7c80ced04c4f243c0fd04a5510d663cb88b5,0x17e450be3ba9557f2378e20d64ad417e59ef9a34,1200000001,286630,,,,0x0000000000000000000000000000000000000000,0x0100000000000000000000000000000000000000,,,,1000000000,1060976,0.27015691212619325
base,2025-03-09,27362476,0x2435ac260ef6b491007ec9e6c37d9adf5d805d4a786281ab3ad3a9b893594474,0xc1b3334d515dc93c8abc6deabe7db21f05a1fec0,0x26637c9fdbd5ecdd76a9e21db7ea533e1b0713b6,2925787,43802,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,3300000,1000000,1000000,1925787,66270,0.6609627282329863
base,2025-03-09,27362476,0xf61bb570a626630f2bef74bab7686f2da3418b738e3250855cbec3dd1fa12c2d,0xf86bbe7102948c1b18233ab57f2f37f40b6096e5,0x2626664c2603336e57b271c5c0b26f421741e481,2925787,109384,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,4854350,1000000,1000000,1925787,168655,0.6485666004565533
base,2025-03-09,27362476,0x2cd2e03302954ddd5672f808086451aefa1e36e765cc34eb3af4bc7915ee5e10,0x7202932b3be70edf0657d5bada261d610e0d7db9,0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,2925787,111355,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,3445749,1000000,1000000,1925787,229712,0.48475917670822594
berachain,2025-03-09,2109189,0xd0d156db6d94d65185a0f2b68d9c9f6d865a89be900df77a08ee34b59e4a1a8c,0x1e3b9c18c4d8fd4ad2221c7b899b9b8832482f43,0xc10fa9c9465e14c91db4879d7a3da02ec43d4d16,1000011,741922,,,,0x0000000000000000000000000000000000000000,0xabb6ae16be4b0e5c813bc6a6c4b94cc61f2177c2,100000000,1000000,1000000,11,25000000,0.02967688
berachain,2025-03-09,2109189,0x4ac51457a4e4773ccfbaeb113794fb22511c240361bccf72dd503f68dfd3c387,0x02197f7f4a637315c5c1b293f5c25c8d3a8c17a7,0xd2f19a79b026fb636a7c300bf5947df113940761,500000011,542631,,,,0x0000000000000000000000000000000000000000,0xabb6ae16be4b0e5c813bc6a6c4b94cc61f2177c2,580000000000,500000000,500000000,11,1700000,0.31919470588235294
berachain,2025-03-09,2109189,0xb93ef6d7edf84be716382fd87ae7717563e47593bccd2b96a3378763256aba7c,0xc948f617d092e04279d08afecaa598a8e0ed45e0,0x8d15db9cee68bef3beb65c576180e6d83f5c431d,543,54909,,,,0x0000000000000000000000000000000000000000,0xabb6ae16be4b0e5c813bc6a6c4b94cc61f2177c2,543,532,543,11,55710,0.98562197092084
blast,2025-03-09,16352209,0xd9a6cbfe4ede0a65933eb7e5a5d8842a713af1b41f5b115e8d3ebb4ab194bbee,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0001,0x4200000000000000000000000000000000000015,0,52282,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,,,,139592,1000000,0.052282
blast,2025-03-09,16352209,0xc13b939a1ba7d8bcfe0e368180b25b6a8b34480bd09323384cbb0561bb01756c,0xd9a38ee7ba1d019b79c0c6172df43d4d0c94bd30,0x9356a2a4f8f572586f19070b35192d77d2ded78d,2675077,458649,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,50000000,2535485,2535485,139592,10000000,0.0458649
blast,2025-03-09,16352209,0x6db1b3d9c534cb5bfd25c0ebad2f409aa780a64426f16a4d55a5c1ab55ddac1d,0x93cc298b396c3de56fb4f36b8dcf2d3c98efda9b,0x9356a2a4f8f572586f19070b35192d77d2ded78d,142606,458649,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,50000000,3014,3014,139592,10000000,0.0458649
bnb,2025-03-09,47310805,0x29d0c6eae48be80e3e6addf50b553f221f5f73d9deafc065a3d1773fcc10af72,0x29ff294033e022c205db099b71eb316fc6454d5d,0x55d398326f99059ff775485246999027b3197955,0,51615,,,,0x0000000000000000000000000000000000000000,0xe7776de78740f28a96412ee5cbbb8f90896b11a5,,,,0,77422,0.6666709720751207
bnb,2025-03-09,47310805,0x9391f40619aeab0651ae9552219fc667009654b5ce899cdb6f35380f82bcb002,0x928bc051352db7c4f34bfa9cadcb53c3b2965e44,0xf20f8a3c135dc048c36cb1c94e1f00ceeea3dd61,10000000000,47264,,,,0x0000000000000000000000000000000000000000,0xe7776de78740f28a96412ee5cbbb8f90896b11a5,10000000000,10000000000,10000000000,0,55779,0.8473439825023754
bnb,2025-03-09,47310805,0x471220172a271c4866135c73ff30e32d546ba9ef3ffc61de18a04725d391642b,0xdbbb6faa56d5594907fd2e5e37b2ddae6632f669,0x6d02f76a2f4a3ea81889a837f093783e64650d54,4000000000,163988,,,,0x0000000000000000000000000000000000000000,0xe7776de78740f28a96412ee5cbbb8f90896b11a5,,,,0,232920,0.7040528936974069
boba,2025-03-09,15254718,0x960e4be9fdd591f92099f1d8e5d097edcac9a8ccaa0d7a62d2f2429a2c6b1e23,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0001,0x4200000000000000000000000000000000000015,0,43851,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,,,,82,1000000,0.043851
boba,2025-03-09,15254717,0xd4023f6209dddfa2ac0ec2596c50f40979ccfd413350d764e0449b878763b96c,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0001,0x4200000000000000000000000000000000000015,0,43851,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,,,,82,1000000,0.043851
boba,2025-03-09,15254716,0xf6c7c673f243dfeb081363f11789e0ed3e7c38be4f8eda692528752a73ba4c35,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0001,0x4200000000000000000000000000000000000015,0,52239,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,,,,82,1000000,0.052239
celo,2025-03-09,30767958,0xfe4be44dda829790b62384f6fefc1d38ee43115fddb3d7396913fc9215330974,0xe56017175ca1dfa2e5f3db77945a3362ba1ed6de,0x48065fbbe25f71c9282ddf5e1cd6d6a887483d5e,27500000000,70840,,,,0x0000000000000000000000000000000000000000,0x28844505ab6f6bf72b681a4641af81af68ba0576,52500000000,2500000000,2500000000,25000000000,120769,0.5865743692503871
celo,2025-03-09,30767958,0xc7d53d2c69fc5e887e2d4a9773708b3311cd12a4a6577fa78b79361fc1934c26,0xf14b1032475923f63a130a19833f440c0c47e45d,0xf60e176445d4af4f620724db58bfb252ad9d12a1,9939472338,144567,,,,0x765de816845861e75a25fca122bb6898b8b1282a,0x28844505ab6f6bf72b681a4641af81af68ba0576,13813283377,-11186716623,804039107,25000000000,239494,0.6036351641377237
celo,2025-03-09,30767958,0x303ac9f161e5beb6c5091f66ead6dadba1746e27e6f1d99b6b2ad0e22dda7cd0,0x47a407af3b877f6897393ab3121fda466b70cb79,0x1388c158dedb699b79ce0a80206a00f4a6e8d94f,9939472338,122621,,,,0x765de816845861e75a25fca122bb6898b8b1282a,0x28844505ab6f6bf72b681a4641af81af68ba0576,13813283377,-11186716623,804039107,25000000000,192370,0.6374226750532828
corn,2025-03-09,290941,0xca8ee56437e098a8a769e342ef5674d84743af45acfc16baf779ac1aafcf0fd0,0x00000000000000000000000000000000000a4b05,0x00000000000000000000000000000000000a4b05,0,0,,,,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,500000,0,
corn,2025-03-09,290941,0xb60da2eed95c9023b1a5624edef5eacf14105dcbade70be8feedd0902de28ad5,0xda44a1ed127691decb80d8a6072e8b7957fa6ab6,0x487204e84864a54f538830d287c71a836a606a79,500000,519293,,,,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,500000,729709,0.7116439567005477
corn,2025-03-09,290940,0x05c842215763dfc47aa5532b110303149f3089de1e06326545db973ed26a4237,0xb9c967aa41292ff7afe2adcd0ee04d302a88e8dd,0x1663efb77d63745b1b80116d43bfc3062d743803,610000,380780,,,,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,500000,665828,0.5718894369116349
ethereum,2025-03-09,22008557,0x9403d7837a60c5a9d26d3700ef4e4f426dfbf8e3796b033a7505ee0fb5985e76,0x12d2b8ac38c59758a062a9f757f2740461779439,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,10216718629,99404,,,,0x0000000000000000000000000000000000000000,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,39868119148,9708503386,9708503386,508215243,600000,0.16567333333333334
ethereum,2025-03-09,22008557,0xff02748da7a65c92dc17732bc801719a06eb7746361af171b1feb0bfe3a97c1e,0x545da54509ef233642343b8beac5ef4443e79d73,0x3b55732f6d3997a7d44a041b8496e1a60712a35f,7401833046,212689,,,,0x0000000000000000000000000000000000000000,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,7401833046,6893617803,7401833046,508215243,276495,0.7692327166856544
ethereum,2025-03-09,22008557,0x6580691689aa9eb716f97539016690dee58f11e4f0858e3b487e88233701a107,0xc82c2c7216fd07df2a599d4f34e15001c4048083,0xa4ad380e73d5e1ded5bb3f6a694b649300f7eef9,2508215243,21000,,,,0x0000000000000000000000000000000000000000,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,2606316455,2000000000,2000000000,508215243,21000,1
fantom,2025-03-09,106149523,0x1c13dd3345eb40dd83ca8829a6e094186e09e7950a78204776632cd0e79ceed5,0x0ae32636544259ceaa18284bab1df95e5cfca8ff,0x8d591c4b8512cd5764a53719379d005bb63f7b94,1023970000,36232,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,1000000000,65928,0.5495692270355539
fantom,2025-03-09,106149522,0x0e2ca3e8932f248a22b867c41d60d090b770ed06cfad82be92937c8c6c1811fd,0x566526b975e87229fbc800ee37c5db307d7200d2,0x0ae32636544259ceaa18284bab1df95e5cfca8ff,1023970000,23900,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,1000000000,50000,0.478
fantom,2025-03-09,106149521,0x0a59afb4f9f3ae92a346d78eb6e475134a6f3aec9318c46f51f386ff330af06c,0x7f70ae640ac4baeb20f5e1cfefe676afb4c88996,0x8d591c4b8512cd5764a53719379d005bb63f7b94,1023981000,36232,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,1000000000,65928,0.5495692270355539
flare,2025-03-09,38498928,0x1e649fab08c75021c4808d546da3259bc5f44f4342f3ed9167e19c041edbea07,0x265440b14d7fe665586474a5576970a32886f382,0x2ca6571daa15ce734bbd0bf27d5c9d16787fc33f,62500000000,197529,,,,0x0000000000000000000000000000000000000000,0x0100000000000000000000000000000000000000,,,,25000000000,3000000,0.065843
flare,2025-03-09,38498928,0xfbbcd70d205c66bb18a7c5d8824130dc3312b995960785f34a4a24cc5a42b252,0x9bad960fbe822fb863b87500f68fce30cb38439e,0x2ca6571daa15ce734bbd0bf27d5c9d16787fc33f,62500000000,195039,,,,0x0000000000000000000000000000000000000000,0x0100000000000000000000000000000000000000,,,,25000000000,3000000,0.065013
