blockchain,block_date,block_number,tx_hash,tx_from,tx_to,gas_price,gas_used,currency_symbol,tx_fee,tx_fee_usd,tx_fee_currency,block_proposer,max_fee_per_gas,priority_fee_per_gas,max_priority_fee_per_gas,base_fee_per_gas,gas_limit,gas_limit_usage
nova,2025-03-09,82642445,0xf023ccab0726a7ac2dd3e4694118f26b6640d120eefea53b20ce7bc5a6c7d5a3,0x00000000000000000000000000000000000a4b05,0x00000000000000000000000000000000000a4b05,0,0,ETH,0,0,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,10000000,0,
nova,2025-03-09,82642445,0x900564632824db83cfe5fa03eb5dbe4eeaddf74e4300e0ce2199e3388dbceb6a,0x2b80688656ef7a3aabce2bfda143921e9ce7eb4c,0x283ccfbafddc747b71aec3c1e29fb824156a8f09,10000000,48120,ETH,4.812e-7,0.001050935988,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,20000000,0,0,10000000,53728,0.8956223942823109
nova,2025-03-09,82642444,0x602eaf19e84d870584e2d08e35b05f2cb52d2031e358a7a37c6782b7e992eda8,0x00000000000000000000000000000000000a4b05,0x00000000000000000000000000000000000a4b05,0,0,ETH,0,0,0x0000000000000000000000000000000000000000,0xa4b000000000000000000073657175656e636572,,,,10000000,0,
optimism,2025-03-09,132957772,0xdc0e347b0793917b97b9915ce50a61adad349ceddfcca42f74ea2b364e9a63ce,0xdeaddeaddeaddeaddeaddeaddeaddeaddead0001,0x4200000000000000000000000000000000000015,0,43839,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,,,,2473,1000000,0.043839
optimism,2025-03-09,132957772,0x7fa6c2586545b8be7f88adbb731f50b290e4f4af29a525ebcb987709e1afd9cc,0xbc3e544d212cb3a3a5ae2177019db38d60db4123,0x887290c34856cd3ba1b84da78cccf43812f66324,167475,1473754,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,60000000,165002,165002,2473,8000000,0.18421925
optimism,2025-03-09,132957772,0xb9298704a07b0c03bed3d04fb6ff7086b7d6fa5548f900f4580f56f7f7c424f9,0x16e050a66d1846f17267f69d89437ba9ceda22fc,0x4200000000000000000000000000000000000006,102473,46343,,,,0x0000000000000000000000000000000000000000,0x4200000000000000000000000000000000000011,103339,100000,100000,2473,140178,0.33060109289617484
polygon,2025-03-09,68832508,0x50db5db7eb556dbef1af59596b3b440641bf5722935ca14d739495b2e2122616,0x505e71695e9bc45943c58adec1650577bca68fd9,0x3c548e920a40cfe7a617a4b407eb307b31fb8480,60000216102,21000,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,93750000000,60000000000,60000000000,216102,318236,0.06598876305634811
polygon,2025-03-09,68832508,0xc132121c2c67767859273af024caa2af4fbfbccfcfec8f2de1c5d6ab8a8c286f,0x3ca86384da2560fd64d0bf882bfda2b90deb49ac,0xeb51d9a39ad5eef215dc0bf39a8821ff804a0f01,50000000000,46191,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,216102,146191,0.31596336299772215
polygon,2025-03-09,68832508,0xe96a8c9398d0a507c169a7d1818e49e2aa376595c146a1c32f54335ee543d250,0x18e17537821c6dc8232524d9763b41b734a64f46,0x0fb6b83b17883d4979cd617a0e11338dec6811dc,43000256336,39992,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,53750426656,43000040234,43000040234,216102,340062,0.11760208432579941
ronin,2025-03-09,43220541,0xb6437660d95429c7f97145ada8b3c25ae983838a2a16b43f038fcc3787406c29,0x92938a005d4e94bf21819fcd01c4b25f2f4102a8,0xfff9ce5f71ca6178d3beecedb61e7eff1602950e,20000000000,68912,,,,0x0000000000000000000000000000000000000000,0x210744c64eea863cf0f972e5aebc683b98fb1984,,,,0,70626,0.9757313170786962
ronin,2025-03-09,43220541,0xd634bc88d5feab38d61c73890c128a30a17801fb7c59c0fc041c15f6b9790a47,0xac32b96ca25aab7c92d50a0aa456defa07a1983d,0xd97c9707528141b3b505eec03ee90aebf055a901,22000000000,59390,,,,0x0000000000000000000000000000000000000000,0x210744c64eea863cf0f972e5aebc683b98fb1984,,,,0,60209,0.9863973824511286
ronin,2025-03-09,43220541,0x3ad7f72566ad52215984dead33b091560ad5081362a8798c2df50bec3d35d1fb,0x52ca7e42a4ff217033d12b85f4943e4890d68fdc,0xe0042bffba452767e68ed4a0289ae5873281eb8b,20000000000,203512,,,,0x0000000000000000000000000000000000000000,0x210744c64eea863cf0f972e5aebc683b98fb1984,,,,0,211344,0.9629419335301688
scroll,2025-03-09,13920361,0xaf0243be79d40a5f312d54df8c87b488ecacfac9546b794e557c61d2f46cbad1,0x3b61ec47c2e49ef7967b45a14b40faf8cb2cc294,0x77a6ab7dc9096e7a311eb9bb4791494460f53c82,39987051,21032,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,53732194,683611,683611,39303440,21032,1
scroll,2025-03-09,13920361,0x9b448afab51a5f2ede9d986260b8545f7f92ee8b46bcd142234d678adeb50f54,0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7,0xc47d2752eaa7e7736ba8629bf85bf967cf95b6d9,39303540,453662,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,49612600,100,100,39303440,464783,0.9760727048966937
scroll,2025-03-09,13920360,0xad67364c1f60cdfa39f56e2c4132c58015e6eab4a43811fcb704774ccbad09f6,0xf7144d103fe5c2ea8ba1bf804e1067da22fda639,0xe79ca44408dae5a57ea2a9594532f1e84d2edaa4,40000000,248847,,,,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,39303440,426222,0.5838436307839576
sei,2025-03-09,135670356,0x1cc8e3c77028647beca51782410b2e8094e5434a71f3475759f6d14b93e6aba2,0x326d022d38d818a571376a429c8cc641391e2128,0x29ffd44130fcf917950cca2b29084095da10db95,10000000000,36956,,,,0x0000000000000000000000000000000000000000,0xd16c0e05cef33dbafc1eeedeacd8b344d7aebb30,,,,1000000000,57000,0.6483508771929825
sei,2025-03-09,135670357,0x1eff6a5d0c10f0a23b5bbfbd0781b1045cf037c925e0e50ae7dd6158cd76ca1c,0x803088f8a6bb8aaefa08745d5759f77baee68c1f,0x29ffd44130fcf917950cca2b29084095da10db95,10000000000,36956,,,,0x0000000000000000000000000000000000000000,0x114c0350b9ce023f98518d9f22a2e2e7548daf66,,,,1000000000,57000,0.6483508771929825
sei,2025-03-09,135670356,0x45c4873cc2d0a2998d29eb339d435192e1900bde595178cdf0be1c08d33dc98f,0xd37ee29ddad80978725ab2835f04928b55cd1d1f,0x61070f0fee7b188eed23e32692f09ab64c3cceeb,1000000000,66550,,,,0x0000000000000000000000000000000000000000,0xd16c0e05cef33dbafc1eeedeacd8b344d7aebb30,1000000000,0,100000000,1000000000,150000,0.44366666666666665
