blockchain,type,tx_hash,tx_fee_raw
ethereum,Legacy,0xa949e6ec5695e8ef02955cd08e17903774e90a3f0d04f4b513a08ac51f4ec0fc,1515250000000000
ethereum,DynamicFee,0x3b9cb21ee8f7881d03de12fa39b97b2e49e249b28582b20481b8c388ab27bb27,2333844881109000
fantom,DynamicFee,0x3831c06e2e1c2dc00ca40eccd8d65891c3be3133558c3bdce7f56ba6e4efda6b,334464160507994
fantom,AccessList,0x53788e566ac62818a7dbcd92e822e83a34eba4793b40c961750f2272e72fc346,257707350406461480
fantom,Legacy,0xa85a1c62418d592640561ba8802030f54ca38cee6d9373d9e67166f0f1e76e1e,2679694500000000
gnosis,3,0xf6729acd1da624a82758f5a9905fb80b91dc34dd2b472c63984b0e38eea66924,210241359447000
gnosis,DynamicFee,0xd5ee04af7373a6357a1a5ca4c91212b3accca182157426fade2c03dc7bb07a71,287896680000000000
gnosis,AccessList,0x8c2856977e4c4ef65b23f793bf622531eacb8f2da59b97c3c2d30bedc12b05eb,902121000000000
gnosis,Legacy,0x8a88b742d5ebe246b234e1482040d3c631381790f20a4370a50c3e3e1776d365,46111000000000
linea,DynamicFee,0x94baa792bf3f2cde20a1dec3bbb3ad67aedcfd4a8693e30b0b16e41d0d28cba4,6300000147000
linea,AccessList,0x931af5a42b67d7b359ee32d005ff6a2f123ba2177368965dd9d4fc2db15e66af,13726729038942
linea,Legacy,0x77d7dfbf19e6ee020a615acc797ae475e5817ea7358a3954834bca68380f0fb0,35081856000000
mantle,126,0xaa0a8f422ae3cf2c5fca2d718f0ac8233b02c69ac93bcee1bdb3b2c74315c467,0
mantle,DynamicFee,0xbf3d4f2d17ed1767cd683a3acffc63b3f4823d77a1a305e0fb44428c479b3691,357562228215354740
mantle,Legacy,0x8e6da0d698459f5d2d8186781270105d5a372167fd9a81b76f719d90c8786698,49847841846406904
mantle,AccessList,0x8b4bff275f5609fdb8f60b2c99bc8d687fb2c1655337c3c2efbc6db4e3bf4698,67260505741207262
optimism,126,0x14a19025a374dfd2ba45d2b7114331f1c3198b8620c54fc4527cad296fab5028,0
optimism,AccessList,0x79deda7ac9203c658abdf2ec8843c828548b6d0303421f7e5b0d34afa53005aa,32936048544021
optimism,DynamicFee,0xb2fa9fb3e99e064f8e3b70081cc1f6ba78fe99c1b9681c587246f34ee6022753,36535947233594
optimism,Legacy,0xdf454819ee9466264d4a9c960f2638edb39a7d55ab4c15be3e6228bc0e60ce07,172194144370912
polygon,DynamicFee,0x3aa54859fe2ec542fe125b395687c42cd91aebbeaf36035ee336f15ab5adc5a2,8416150382411520
polygon,AccessList,0xc208310d5d64ffe4cb748adca07bb7809c03e923cab59482b9bd558fc457da89,5000422700000000
polygon,Legacy,0xf427d34990dbb16b0050abe597ad40596271485620e4025f938cdf924f1a588b,483640000000000
scroll,DynamicFee,0x435e941c964cb4fdd63afc08d88b2c7faf83a4c9efe8e14ea2ff409fa8d01889,29744132794905
scroll,AccessList,0x54bdba638eec0f64f90205484d6c3a9d4dd6c50690f77052363545124b124480,20509769211390
scroll,Legacy,0xbd59b6b9e5efd82e9cffa0ddd08777c932f75a801f7f29bd0c5b159b5668504b,6923671524162
scroll,126,0x594ef9e6089cd0f25d907e6fc36a405b4ae480906df96778043b226521027978,0
zkevm,Legacy,0x6f03b3fee4115d290a6f5b5dc5296dc807ee3361413d6c76be8f926af8cbaca2,15043200000000
zksync,Unknown,0x7675a784f14336c42b0044e5e4945d15673a09f633ebbb12d2b48d6d09f2a91b,0
zksync,EIP-712,0xb3219cdd9d32a00a0b6528930f0320aa7446dc8860353e4157c6c82e8ac6af59,145201200000000
zksync,254,0xe4c0ffb3ab0df41da0a69e00c414cd0ff886c5b1577757bfa009c584dc72bb87,0
zksync,Priority,0x63ebf539e561a714d1077d202cd5eb4724f1c00080e0b752bfc1312886cef314,266980000000000
zksync,DynamicFee,0xb9d96a292865adb0cc81fe28c4abb88bc92ae90b6066a3360f40d5cd456c258f,61248780000000
zksync,Legacy,0xcac88fbb33cdf77bf3a4be83a0086d06f4ffdff5e04a58ceeac80077e50b9dd3,86941000000000
zora,Legacy,0xfd5f8df99b747f27303ec22f764a847b9211a7e0f9fbcd13f18301026b28aa99,30562852863643
zora,126,0xa694bccb978690204cc9445f8e9c2695f19f87cf1d7923ce4dd5b7122cd69d47,0
zora,AccessList,0x8d1029a6cbb3ec0047371c17e888381f95023487743eeb6597ab65d4c8954fbc,175028874886
zora,DynamicFee,0x92c43dbc36d7234e6cab7b3793b573d9b20a810c4403ae9e5900706a2f9e20a7,47040291290076
ronin,DynamicFee,0x85a8cdb97b8920934ec8f555db172dd91ebcc95fe7d1e409a1b9b02f41485b7d,14880820000000000
ronin,AccessList,0xb56e7dfc8d745f6e9d1c99a90f4ae874e541c8c6b38002ed80b3c2965d46aaa3,420000000000000
ronin,Legacy,0x587223185b0f498faf0715de5855a98a4aae330c17330a22fb9c64636beb38d8,71333000000000
ronin,100,0x438c07ec4094b9a335fe641ab7ba73e13d18f5113fffca04f8e2d0f82144cdfe,1074820000000000
corn,Legacy,0x567d009eba78deb167e6d7d0ea13cc5f5e7f91c1cb503ef02b0293fb90762a6b,18988500000
corn,Legacy,0x6c24adb16f2747d0fcfda6bff1013f80bafc16b3131fc0ac88274afbe7510f7d,0
corn,DynamicFee,0x6d99c0d356ee8e76cebf61900a69a8c13686d312835d5db62b7d1f9aff4e6908,50660000000
nova,Legacy,0x1d3bda40b7605cffce27a528762c6016710107d40a33c88dbb9ff883ae399c6c,1364510000000
nova,Legacy,0x39e61519f5266977270abf2239f0d224a985f6ed0e3b0192e4ba2850f726ae28,0
