block_number,tx_hash,token_id,amount_original,buyer,seller
24540264,0x61844c5082981839169b9aec66aa1d86d0cf78cbd7d337838bdf25aa08186da0,102016038038,0.3,0x5c6631657b4fe10ab5b9353674f87a3883ad7d2f,0x836a38b59c3226a3e7f8fc8b15a87a398a008888
24552538,0x9c48f24b3d5b902f6141800d8d0405966c860ac19c7ac93c53d6078eb45df7a1,274,1,0x826547bb2ec83f7d70b8ff9755c106e1c6f51c1f,0x06ac921952c4a5904a08a9a29d3f09d38728cef1
22407143,0x8b32c7921db1acbadced7e7cd3312827cf53ce9d3d5ad7a32112dcd964c79220,43896,0.008,0x59827d64fa596880541e53b8dc14af4ae05025f9,0x46b6d95e3c571bf62155efe7809e87c2f11ed675
