blockchain,address,first_activity_to,first_block_number,first_tx_hash
optimism,0x77BA75A9a95b5aB756749fF5519aC40Ed4AAb486,0x5485798748221719181499103911646299086586,30689881,0x429f0e772d36451ad1e5c9b39a369eb7c1471cd16084209e33eb3d7abf28b56c
optimism,0x1ddb27df0c0c20effb80d65ce7f870b2b083819c,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,104546448,0x5c913779a545da143e0cff539d2197590b834614692b4c2ba7601a480a17d836
arbitrum,0xb48d5d76476d4abb7ffe24e2114191814c2bec2c,0x1111111254EEB25477B68fb85Ed929f73A960582,112473608,0x7af8f8fe6df16facf8bc74ce531daeccc4c61a16b274fa4152cc31472e98ab2f
arbitrum,0x1017a2FF7C74Dc7dAf1F59d7801bcE3E8Ce36EC7,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,109926428,0xfdf6a3740ba48cb2d1948b4d2b84f21cd2aad65c7ad9a2e5b530c17b3901153e
