block_number,tx_hash,trade_category,nft_contract_address,token_id,amount_original,platform_fee_amount,pool_fee_amount
15432497,0x1eaa197f025cfe070767a85824b16576fafe1876d1d091f72bb2593c54490bd1,Buy,0x34f08f2a3f4a86531e9c4139fde571a62689afec,18542,0.14,0.000696517412935323,0
15432495,0xa0458f553bd8862dd3b8818399048ef6aa3de2ee91eb8ccce661169a0fe68dd2,Sell,0xec0a7a26456b8451aefc4b00393ce1beff5eb3e9,5286,0.024267627963430793,0.000126657765988678,0.0009730525415475708
15432495,0xa0458f553bd8862dd3b8818399048ef6aa3de2ee91eb8ccce661169a0fe68dd2,Sell,0xec0a7a26456b8451aefc4b00393ce1beff5eb3e9,6353,0.024773253381963498,0.00012704232503571,0.0006011270989494582
15432495,0xc6235a303b0f8b3f2ace5866334727fe05d4f854c91ed37f1aa08841b38eba9d,Sell,0xca21d4228cdcc68d4e23807e5e370c07577dd152,52321,0.02332108374384237,0.000117783251231527,0.0002297356484416915
15432490,0x85c0abd68e0656b4d97ef0e0fde6641f9f56f54055defe25af1ee1678ea9f649,Sell,0x3a112d86899578e63b373b6d09322e18aed924cb,1562,0.014898710357536758,0.000082770613097426,0.0013469036131308482
15432487,0xda52c4775c93201e1ff4c53912807ea55f302bbab3c734c3e661531f1f6d0bec,Buy,0xd93206bd0062cc054e397ecccdb8436c3fa5700e,37959,0.005000000000000001,0.000024875621890547,0
15432487,0xeb898b0cd98a0e8a499d78f2827919b7fe6f1a66bf38c0b0ad954e0d34eff52f,Buy,0xda4c9ffb9a96ef44865114be4af25004f0ee385d,2889,0.058714793272315983,0.000275656306442798,0.0033078756773135764
15432485,0x23a50cc42e0656c3ccfea231e7e277ab827f0bfec68e9c5b9cd16d783eb2403c,Sell,0x209e639a0ec166ac7a1a4ba41968fa967db30221,3448,0.09404553759276155,0.000522475208848675,0.008502096580355716
15432485,0xc9f8ea24925f0a16f02093897c4d4b83f5b5e9e833495d6f631db54f6f47221e,Sell,0x6661c87764adf7fffa3c7922fa6edfa2fd62ccfc,752,0.07035781345505236,0.000390876741416957,0.006360630610330491
15432484,0x84d6424dc7be3fa61bb874472b773e08e860acd3ccc311d6ef3aad23d540ed93,Buy,0x9690b63eb85467be5267a3603f770589ab12dc95,12133,0.14,0.000696517412935323,0
15432483,0x4e389c6e1af375d783c993fa5812ca2b035de9047d96fb2ab361d34a2aeb11d2,Sell,0x65784d6f23de30a17122e96c0f0986c378ed6947,2401,0.049060256626310146,0.000247779073870253,0.00048329185695485046
15432482,0x4245161dd68ceeff680018abf7dff76dc48c6b343551e45423930f6e933b08c4,Sell,0x65784d6f23de30a17122e96c0f0986c378ed6947,4013,0.05028676304196789,0.000253973550717009,0.0004953741533787216
15432481,0xa666ff76bd2304bf4ef3fff4a02fda2a875721b57e3ec43f4fe6c43959e39d17,Buy,0x65784d6f23de30a17122e96c0f0986c378ed6947,1248,0.050927891395607175,0.000250876312293631,0.0005017526245872628
15432481,0xa666ff76bd2304bf4ef3fff4a02fda2a875721b57e3ec43f4fe6c43959e39d17,Buy,0x65784d6f23de30a17122e96c0f0986c378ed6947,3877,0.050927891395607175,0.000250876312293631,0.0005017526245872628
15432480,0x568eb6b515323d98c8da96c3fe86993e525e9dcbbdafa02a9503ba947897eab1,Buy,0xca21d4228cdcc68d4e23807e5e370c07577dd152,52321,0.02398,0.000119303482587064,0
15432479,0x1779ae7730bd3eb6888602de9168cb0f6c27e376674c70e2370d27d07d87f471,Buy,0x6c5a06ae6b773457480c12f12c2fb22627507a3a,4338,0.012,0.000059701492537313,0
15432479,0x6d52e85aa2c431bde274a9e55a9a9f3224eb093c6c97cf94d4f8e202084a29fa,Sell,0x65784d6f23de30a17122e96c0f0986c378ed6947,7982,0.049060256626310146,0.000247779073870253,0.00048329185695485046
15432477,0x3ef9a47879b8678d76f45ff825f8764fe5847a5dcab465299d415d9033f06eec,Buy,0x65784d6f23de30a17122e96c0f0986c378ed6947,3088,0.049827285463986515,0.000225462830153785,0.004509256603075703
15432474,0x8fbb16b280543c807192faea8c5084a7372803da5d00d6b1e551342cf64ebbfc,Sell,0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9,2251,0.05194903846842098,0.000259745192342105,0
15432474,0x8fbb16b280543c807192faea8c5084a7372803da5d00d6b1e551342cf64ebbfc,Sell,0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9,2249,0.05194903846842098,0.000259745192342105,0
15432474,0x4d4353fbb604b15298ba8133941274e39624482cd8e999589d8ad4ff7c5af937,Buy,0xf10a71e53398bf4e3cf5e2a0cad3c529ad19b834,161,0.012444574248598796,0.000060705240237067,0.00024282096094826916
15432471,0x04e2f0da231969e8ef950b99ad6beb13ec0c95f07a46e3ffd6273563a21e5b23,Sell,0x6661c87764adf7fffa3c7922fa6edfa2fd62ccfc,396,0.07387570412780498,0.000410420578487805,0.006678662140847015
15432470,0x20f5126d305c93d8fa5aade194e67607e571bfc212fbd1a1147d8f5d2b32c460,Buy,0x740c178e10662bbb050bde257bfa318defe3cabc,3002,0.08829526864409548,0.000418460988834575,0.00418460988834575
