block_number,tx_hash,sub_tx_trade_id,buyer,seller,nft_contract_address,nft_token_id,price_raw,platform_fee_amount_raw,royalty_fee_amount_raw,description
15776116,0x19e9a99f135eb713af849490ea5ce018351208100eafc488217d13ba9dad92f4,7,0xcd1dbc18800bd192adf24cba8cb5b75fbae20d09,0x241b2443ba2a7215e178dc1624417d613d7401f5,0xa1b11e431b456d0e0064e7cb65de77941870912b,6216,1300000000000000,,182000000000000,Buy
15180786,0xda4cd71e7f771f314c5e2ac8f2af236277019413eadb8a147cbda8234568b96d,7,0xd792bfa65dcfb29d84c8c72928e905ba484d874d,0x8837aa3e2bd8de3e36eb43b6ae897daf8e69e5d2,0xd07180c423f9b8cf84012aa28cc174f3c433ee29,64598,18000000000000000,,,Buy
26602034,0x52c407bf7e728aa79e954ea335ca78ada17c46dcd5f01f258b866cb20ab7ab7d,14,0xb94881ea723c9593592dba40f8115ab483a5a26b,0x5a46bf69ae98d36d716fe00a8ab87440cd89a863,0x57f6e4370ebe385500ed9790338c6f2ebe46dcf1,505,1000000000000000,,,Buy
