block_number,tx_hash,sub_tx_trade_id,buyer,seller,nft_contract_address,nft_token_id,description
4595149,0x0d00e6e9950aac64c8879566555dee8a440dcb3c6cbcda3cd5526b7e2f6b44e5,28,0x942d7e09fe651f9e3239000296d35a30aa5fafdf,0x416fc1f33e1d7e7a730c08fda44b078945dca1c7,0xd66c8034ef480a0fa5eb43db371b6238d94bc62c,93,"Offer Accepted"
779432,0x4f3c5ddff8820f10efdd7d8a0ea4bb85fa29449aa3760995baf190b36a1cc3f4,66,0x5752836951338a9c3c6bacb5b812b47e5384bfbc,0x2b59d267168cc16c0be1181ed037e0a8fa99deb5,0x78965733064dcfd2f2afd2b3604e55401ee1ba93,4941,Buy
