block_number,version,tx_hash,token_id,amount_original,buyer,seller
15617059,v2,0x3c68b05d1e6172f29c330376cf655cfcd87f636178fe1ab83e8520f87286656f,6889,0.000001,0x10dd2f434adf9dd41c1cec0527467bb00c8d3a4e,0x2ee678669719707aac4f7e6b9f7e32492e24975f
16069134,v3,0xf1d728d7792e21ae125f0962b055caa3c74cfc6f3ec08f814a0a81fff240838b,6980,0.1,0xf84ca8ff043062acb6203ec5b1d5962675d86530,0x2ee678669719707aac4f7e6b9f7e32492e24975f
