blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
zksync,vesync,1,2024-03-28,0xdbda49ed3db4e80877a7f1379c453bd31bf223ceeed12bfefadeb231ff7bcb24,18,0x5aea5775959fbc2557cc8789bc1bf90a239d9a91,0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,30097283,10204312763376,36340
zksync,vesync,1,2024-03-28,0x9c17f56a3586f12d6c198af9587c41af6c5e467d338bd1d3577840a3611e30b6,8,0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,0x493257fd37edb34451f62edf8d2a0c418852ba4c,30043849,3552320,3555383
