blockchain,project,version,block_month,block_date,block_number,pool,token0,token1,contract_address,tx_hash,evt_index
ethereum,uniswap,2,2024-03-01,2024-03-02,19350634,0x939de19d76afd66e1b5cc75bd5f923dad5435ff0,0x0081c737c214b01098dd2d4ee4abc6c44817d1c6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0x829c7cb3a4c0d2a07f65197d9bccd673ac79e101598d012e516a869914ed7b69,133
ethereum,uniswap,2,2023-07-01,2023-07-09,17655154,0xdcefc135c63a851df369d953216505bc203deedb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd24922c19abc2a569b88f0922198e4e564ed603f,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xdfd0efd83b81e5076d236edab641756d0f69a4451d7825468a0e72d701a5f340,91
ethereum,uniswap,2,2020-05-01,2020-05-18,10092286,0x70c60656c04072f955e59f180f53d2cf2573a0bd,0x6b175474e89094c44da98b954eedeac495271d0f,0x7a5b6651008108a49e07f4d601215c4374005c90,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f0xdd2f6c27401c0dac5a00220f15cd2b5ea9223c2e8c56bf6f209ab3602cd2c51a,55
