blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
ethereum,mauve,1,2023-09-14,0x9287ef89d064846c961ae2102b32cf1327bc5b26bde1ae0f9c884f6dec6b73e9,485,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbe9895146f7af43049ca1c1ae358b0541ea49704,18132582,53618892884010172,50000000000000000
ethereum,mauve,1,2023-09-13,0x7f71f44e295edd95a55425e96e8a05e5059908f2cabbe53497b7657037ac6c31,102,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18127460,15000000,7446710798914315
ethereum,mauve,1,2023-09-14,0xcc62f06a8c9b4351ebb510d178fc68fe946bba1cd05244db92de76fd62a824b7,200,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18131041,16837610,10000000000000000
ethereum,mauve,1,2023-09-14,0x94993dbf07f4ef0bf38a15a303182a3dbd0ef4525f09c4be0f2babbb5be2e2aa,236,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,18132389,1758083836,1850000000
