blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
arbitrum,1inch LOP,1,2021-09-24,0xfaebdcb7948f7141d05709373681b0e04c0672051b072db49268066c5ed146b6,1,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,1540189,100000000000000,308879
arbitrum,1inch LOP,2,2021-12-10,0x1c7b1db733029cdfefa5d33372061dcf392e6ddd668774306f7e80c6057d9631,1,0x0e15258734300290a651fdbae8deb039a8e7a2fa,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,3725195,1000000000000000000,630230
arbitrum,1inch LOP,3,2022-11-25,0x5c8b58d7b37384216431a6fd41f424f1a750b4cb28c0a891d313454590cb1046,1,0xbfa641051ba0a0ad1b0acf549a89536a0d76472e,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,41071170,1000000000000000000,1000000
arbitrum,1inch LOP,3 RFQ,2023-04-26,0x51b8f0aeaa4944927bf2c1c4c8c379fcfb7e7a3cdcd5389a424d8cecdb1a9b4e,1,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,84533042,5639386973373932,10995641
