blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
bnb,uniswap,3,2023-11-23,0x0cfae8b84b124f6c54637b1d2d738a3a2e66e74c4c884f3da21fc7b5398e98bc,207,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,33744681,42851200954089866,10000000000000000000
bnb,uniswap,3,2023-11-23,0x612a6a8e7d1a9a10bf3f0341ad517834e28f0728fd2e006858e80208b79adf7e,75,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,33744681,1256258150294742219,292951267769457500000
bnb,uniswap,3,2023-11-23,0x6c2a240c5c650ebfce566faff223f4c9d704d41b5114d52460ba7ee1648d5459,95,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x55d398326f99059ff775485246999027b3197955,33744681,4512482518778893394,1053000185747243700000
