blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,token_bought_amount_raw,token_sold_amount_raw,block_number
optimism,firebird_finance,1,2023-06-21,0xee6c8e576530a282dd8b6b0150690d2efc9bafcf535b994a9efdd95c68d6aaf0,31,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x47536f17f4ff30e64a96a7555826b8f9e66ec468,28088612,18109264993439985186,105861387
optimism,firebird_finance,1,2022-09-12,0x4b229101a53eda64d7205e8c67da5b69ac57b7030d7420777131dcebd1b6451c,18,0x4200000000000000000000000000000000000006,0x7f5c764cbc14f9669b88837ca1490cca17c31607,19139198083055194,33450938,22856691
optimism,firebird_finance,1,2022-09-27,0x77266a3fb99476be6859436eb0000ec1d0a0a78400149195317a65e2a70a5577,11,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x4200000000000000000000000000000000000042,400000000,413417395388881946959,25754569
