tx_hash,seller,nft_token_id
0x174feeb802ecf22c3bb50bd21194dd34b496383f5bdabe9279b7e0a1b3a2c3bf,0xfbd06c03f10d946618e231b66ece7ae18122b135,6569
0xf65fd745e4b96908b139c16dd0596f3975aa187ccb171558b4566990f5297d7b,0xf3e67ac4ab1a1a4abf74b4d8f6d3d6cc571d4a3b,2805
0x3dd6d2606d14ddb2ce3fe3aff36e3bd096fdcd2e4b9cb0afc37aa47748ec546b,0x90f3d8c9a38a9e8165ce8284170262640c2a621f,4175
0xe746490654143e0be0e47ecd34408d79dbb91f8bdc97734ae95145e37fb40180,0xfa547b0408e6e6d95d1ffa8fadbdb374cd2cd497,10519
0xf670808569085c7775d8ff9c95e3f9652ddcf162401f62f68aa2d48d112dd12c,0x3957682e1f50d08a359522527ad9e708dd2d2a05,4789
0x9f9ac4bd724c478b2151b83bf9b718dd7be281886b69b8f232050e91dea459b7,0xaef54f239842328807a7275ffdd6001732cd392e,25252338728193193387681680705387618689938270766287129461227718848929576939984
0x757841df6b23e628772a6bcab4b18157812e9d5f6f9ff35fd243c455f7c20bce,0xa42b362bd6f84f4690a180f5d6c7acd79e68864a,1983
0xe5b5f613ad79ed20c8210925193b601d1daac94c32d07c22e82771db3a1e34a1,0x16a424fe511516aededbc34a00ceb6fcb02b6c74,30
0xc32cb211cc4f7b49a26c6791626bc158c75673bd9d4a098a06ade2bb03e103c2,0x379f75d14f5822e3491d4618f9517a99f881da0a,7
0x07bf3882b916db0de3c3774bf1ef77fbc2ea1d8863487acb57ced62bd276b351,0x7e5f2672df12d9dde49739447aada3362031da66,9920
0xe90c9619d71d59efc13e22fef06775eebb31f53abd07a0fee88b9fc56a4a5efc,0x90ff89c637fd1537e151b8ced1d1d0cb94e31ca6,8155
0x3f4d369a87419abe08d246b1a2e898fac989946a71035c5f4fc9ede06eb6766b,0x89d6e32ba1007ec79969734e2d8f21369033f73c,496
0x830355ba3f13e0dbedbb86daf972b2031cc139a11b791f71cd00bd9488a1e3ab,0x5f816f971d1743a5e1a2d8c9a66f7d1091565c6b,1928
0x94484b21fc605e25608b3199847416ebad20cee906591177b1cf3dc4ce80171d,0x258e32c7bb314b7bea40538b2cfab4f1678a3d3a,8365
0x7bd86d75d6b8d9dbd57afabf9261cf30fa0f7a9cf284abac52f351a74079d350,0x470aa3f50b07ad42d4231ee4f2fa3567fd77d139,9724
0x7f6bb68b4cefee8259fe99bb7d02d15595556c7e47d07779490423385dbcb7e8,0x7d992c2e88d8d35bff5d6712eeee2c9445329238,3089
0x3bbb55be26c3f7e92622b6c423e96cc66cfbccf8dfb867b71dd44f2af3e2509f,0xf9a3f9c32cb16ddc15b9b8cb4d5895ea9a85c6b5,4557
0xd2d86ed572487b3a043548ad0ebd86d2f8102f757baf5a9d79aa7170e4112fa8,0x0338b664feb78a6ebcd5182875b729d575332695,924
0x18961f64b49abf40904f7e72c2f583364056198b5169d1aad8a9748be596f950,0x2c04bc5c213fe9acec4270a368e492966d78b2c8,4759
0x297051c10bc9921d28bc9baa38e439349c53934315bd78df3b4b9a2497344f5f,0x49d25e527d2c43a48bdb97d9973e4c295d2ccc49,2780
0x63ea9046d36145801f732de6ff0be4fa4483456c34a8e4b9b2f426bd61e278c8,0xdb8cbb9d7f9e61a4b950ba5b35b0ff66ba7915d0,3115
0x979a2998b43f675af6d4780afeef42ffeecafc0c039efe587e76d4aadd7cf6b1,0x2f83c747a82a23f88df021492050cfe1a06ee238,6211
0xf8f52620c8cd54d5bcadd98b8a99c844506ceda4685f04a5fb82400390c395a0,0x65a78aba0a3544c19f6503a7d39d8e45f85c60d0,5907
0x172b07a05b765ef09eb49fb226bf5107676969705423f81c4d679fbe205d360f,0xa42b362bd6f84f4690a180f5d6c7acd79e68864a,1524
0x5d82f285fa3aaba98077fc0ceab55c616e8fa281830906456d85a99284f3b5ed,0x8e463842d1cbfc515317094920a2565d5a5736ce,5907
0xc28a25ef6149c9c843c6def30eea795b8d08b6997596abaf597c7fd2efee4b1a,0x7d872f8ec8e6463d06e8f99f4f0e9dc5f2b15877,5865
0x5cd391141bc2553640f916cfac6ab19e2b1f004462faf2e061aff9300f9699a8,0x5d4df680d2aec9d745dd7dca1b28aad765e36ca6,648
0xb23899df1b95b789bd3ca5051a099cf2b67c3acd7b9fed0c8b4ccd102bd4d2cf,0x281e768ff911308a42b4b842237c59e693a6502e,6858
0x9ae50fa16210e62ac392e54a191c23a3b8c5c1bcc2d5e3a22799f4c893e570e6,0x758e83c114e36a28ca1f31c4d2adb5ec7c04c578,915
0x61af221c6b1017d78a0c601df9748e571831fe490318c2960faa77d45acb9179,0xf9b58b052087acfea08b881844054629a23aaeaf,1168
0x28bfaa3440a122b0cb11653b74a5cfeaa0bdf077a1d48f43b1453e12cb71f76c,0x42a662b820e0c3a860fad43f34d92cdb4769cf8b,71
0x2242e83f1de64cbb26172eaef55db093c470eef6080d551005d0d9d47c1faeb4,0x9999fd47e4af14405fd35ba85dece8a9e0969999,3116
0xd769462ff2baae363fd7bda60749feeadbe5eb935335df117a2df6ac89e50d0d,0x8c6247aea71d1a2068f1323c6b2635388a287147,63497444546626042851323987499512636779172288459935354652921330130750210572305
0xbf1dafddc5d8f96f811f802a4a9401f4e4ce862890fc2be42240fca1515d1729,0x7781b45306c2953e721479807ae8b3c2291050c8,421950134981963694694584513215392582205440
0x511788117bc79884df71d228312a67ce04a9daf88de8a39aeac7af2e3bbe61dc,0xb4ccdfa84eceaea5e6cebe0807b018638618f55d,10635
0x28bcad9967085f2d48a5cf7462beb48beacc45c2e013f35a8e06d371f1ad406d,0xfee265f6f8a66445234b2113fc0760e088d1daaf,3545
0x85f0b5c30f0b2f659549c3416a7d9a115dbb9f650ca0801a507a13a6d873de17,0xf3bf4cadebee8427f6fc87f4d846f21d78efe2dc,1798
0x40d75449ab357bc62be4fd8328bb46f7206011d507d33ba4b8cbf79e08ce4979,0x34aaf2b73c1a8bd69aedb3a360fc207518b0d62d,264
