blockchain,project,version,block_date,tx_hash,evt_index,trace_address,token_bought_address,token_bought_amount,token_sold_address,token_sold_amount
ethereum,1inch,AR v0.2,2019-06-10,0xfbece2cccbaa4fb2aec9d8b95cbba4cc0b827441f41f9f1e664bae651f20bcfa,-1,,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.1190076630698747,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,105.75082157610001
ethereum,1inch,AR v0.3,2019-06-19,0xc2484e0642168421e6cd3147354b25975d9640eb2dac4ef2c520693698fa6f3f,-1,,0x39bb259f66e1c59d5abef88375979b4d20d98022,255.07025047,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.1
ethereum,1inch,AR v0.4,2019-07-19,0xb357f7c17dd510732d636f7d2436822d8f36d73415e744b5b5e5ad559408ec66,-1,,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.66822525612731,0x514910771af9ca656af840dff83e8264ecf986ca,56.315
ethereum,1inch,AR v0.5,2019-07-18,0x9c586500c398ed8bcd0e9e135723ac595f950588bc2f435e7ba0d1fa9c69f33f,-1,,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,5984.216073204434,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2.5
ethereum,1inch,AR v0.6,2019-07-19,0x397efff22d853f6b6155db71cf599d28e632762288757e10f3fdde9614105b11,-1,,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,12.134432799221276,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.01
ethereum,1inch,AR v0.7,2019-09-17,0x24d0d8b14cbf960366f34bae5cc35b228278755c92b265a1692534db64df3632,-1,,0x0d8775f648430679a709e98d2b0cb6250d2887ef,1021.7806889519711,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.9
ethereum,1inch,AR v1,2019-09-28,0x889164e561a65fdd3990af835b8a369f2849d16fe32b6085c74056d70de1e889,-1,,0x4f3afec4e5a3f2a6a1a411def7d7dfe50ee057bf,1.054116024,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.28
ethereum,1inch,AR v2,2020-11-04,0x50184c6a531249c82084d5b1e680ba6d4da09686f551f03051f8f97b3c60cd1c,-1,,0xdac17f958d2ee523a2206206994597c13d831ec7,4.008924,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.01
ethereum,1inch,AR v3,2021-03-15,0x745eac933cdf39c5438488869ce8c03fe2038eb948ad211a963f571f68bad949,-1,,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.01343962981217908,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.0004
ethereum,1inch,AR v4,2021-11-07,0x78289103b6f397040bbb31e24705915a11e49be7901a0cfd817661b8d42df4cf,-1,,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0.10551485773862178,0xdac17f958d2ee523a2206206994597c13d831ec7,2
ethereum,1inch,AR v5,2022-11-04,0x571d46da95231ba558d87cb27c67efd50c7adca076b17c7f20a1cdbcb1c802ab,-1,"3,1",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100.18425233390363,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,100
fantom,1inch,AR v4,2022-04-05,0x4640969934ce8fb96b72778fd5790f23fa14df5a5831931df81d463a1f9965f5,-1,,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,1,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1
fantom,1inch,AR v5,2022-11-04,0x61edaf65a4f8eb9645707c9b18ca74dbd8d5b0944def94c60eb241cdc95bc873,-1,"3,1",0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,5003.345593241593,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,5000
gnosis,1inch,AR v4,2022-01-14,0x971f68985032b6a50aaeeaaeb4962655803f765dfd2efb4e46511b0c5741aae4,-1,,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,12.609,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,12.609
gnosis,1inch,AR v5,2022-11-07,0xe0cfdc8b93d26f2b07fb1cdf5c2cd3f8b72d7a548180047d72c1f6a7870f9e8d,-1,,0x4ecaba5870353805a9f068101a40e0f32ed605c6,0.99968,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1
