block_number,tx_hash,buyer,seller,nft_contract_address,token_id,amount_raw,platform_fee_amount_raw,royalty_fee_amount_raw,description
17062425,0x4e2e4ec8d53f82be880c6da6345ced1f614e5cae74b49be6c8023a6e1db158f5,0xdf1943dfb5d1b7853a136848b32522d0ed9db5a9,0xec04a3b0f3a900ea5f24a3374caff08226f16bda,0x32973908faee0bf825a343000fe412ebe56f802a,1985,996400000000000000,0,47000000000000000,Buy
17062578,0x96792d636025ef3f8062f7a9578991ea9dc7ae8bae1863b48a7228dd8ad00cfd,0x2c893b54e24188764ab71bbb72baca8990dea2e4,0xec04a3b0f3a900ea5f24a3374caff08226f16bda,0x32973908faee0bf825a343000fe412ebe56f802a,257,1208400000000000000,0,57000000000000000,Buy
17007728,0x49d04addc5360fc7ea2f44cb2c679258bf4cf09c95ea0bf98f0eb56e77c7ab1d,0x9b83bb7860f7674acd855711d61b0c5f7b33a53d,0xf7ac4701ee00bb188d3c2c847721fd894a9ca501,0xfcb1315c4273954f74cb16d5b663dbf479eec62e,341,66000000000000000,0,33333333333333,Sell
17093561,0x93f8a1b1385904f782e6106545471ce650e7fa7bc17d3367ec07ae6094521823,0xec04a3b0f3a900ea5f24a3374caff08226f16bda,0xf7ac4701ee00bb188d3c2c847721fd894a9ca501,0x32973908faee0bf825a343000fe412ebe56f802a,5033,782100000000000000,0,39500000000000000,Sell
