blockchain,project,version,block_month,block_date,block_time,block_number,token_bought_amount_raw,token_sold_amount_raw,token_bought_address,token_sold_address,taker,maker,project_contract_address,tx_hash,evt_index
opbnb,pancakeswap,3,2024-04-01,2024-04-28,2024-04-28 04:38:00,22525402,50790464896873592,30426227632276461049,0x4200000000000000000000000000000000000006,0x9e5aac1ba1a2e6aed6b32689dfcf62a509ca96f3,0x438d13cacc131fcad75aca9c3222c58354dbd058,,0xc4f981189558682f15f60513158b699354b30204,0xd2aa4579142ecb82ae7eba3b7c511cf1c61205a81ea87be16c552a24c66c9e0c,25
opbnb,pancakeswap,3,2024-04-01,2024-04-24,2024-04-24 08:15:00,22192802,26695192688919164561,43868000000000000,0x9e5aac1ba1a2e6aed6b32689dfcf62a509ca96f3,0x4200000000000000000000000000000000000006,0x3ae2d80210a25a2e2773366f54f08a6a129c452f,,0xc4f981189558682f15f60513158b699354b30204,0xd381e680d65b411132b28eef66fb3bb83b32be0ae58991e7e48365e1c8fd6137,25
