blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
unichain,eulerswap,1,2025-07-29,0xe731fe604e77826fb440a7f03b36d46e012b2838d52cc506a548e451959b2ff6,35,0x078D782b760474a361dDA0AF3839290b0EF57AD6,0x4200000000000000000000000000000000000006,23058662,12437658,3320857467130302
unichain,eulerswap,1,2025-07-18,0x6fc2abde468d795b58bbb0d9a296bea4f4caebd7e08ba85318139e953ab6be1b,19,0x4200000000000000000000000000000000000006,0xc02fE7317D4eb8753a02c35fe019786854A92001,22088517,22080401367988900,18309402638030153
