blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
sonic,silverswap,3,2025-01-23,0xcb1a667fdfd1c202fdc15696b941391d5bb6ee42bd03e74346a773a6329bd28f,9,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,5173983,200000000000000000000,117556622
sonic,silverswap,3,2025-01-23,0xb6f9a9ba3a2dbc8e4513b58bc5e494cdaf61b199209a26dc643f914a39389752,2,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x79bbF4508B1391af3A0F4B30bb5FC4aa9ab0E07C,5175429,3182071248364321163,100000000000000000
