blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
optimism,dackieswap,3,2024-02-14,0xdcdbc6fd996a6a7e1396da2797d472deb3a1f9c46774f7e27138a5928e404d57,33,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0x4200000000000000000000000000000000000006,116155158,50082926,18211637301778767
optimism,dackieswap,3,2024-02-14,0xf087acd032408d00404b3cee504f76dda80f122be4c663abb12771ab807a88a6,143,0x4200000000000000000000000000000000000006,0x4200000000000000000000000000000000000042,116153915,20817961050828307,15000000000000000000
optimism,dackieswap,3,2024-02-14,0x44f4d4c0eb791028fb04728729e558ae18492c28d62bf26b4a5323987db1e3d6,29,0x4200000000000000000000000000000000000006,0x7f5c764cbc14f9669b88837ca1490cca17c31607,116154079,32233382650692575,88648602
