blockchain,project,version,block_date,block_number,token_bought_amount_raw,token_sold_amount_raw,token_bought_address,token_sold_address,tx_hash,evt_index
sophon,syncswap,2,2025-04-20,8805405,541767993,1,0xf17c039d4e5a5bb375e8d7bb85928179738328e3,0x72af9f169b619d85a47dfa8fefbcd39de55c567d,0x141a3b6e08b0fb82b7ed9f6734c25e6e49a833085677a1e5f6f8be1a0816bb93,16
sophon,syncswap,2,2025-04-23,9011756,408008025,1,0xf17c039d4e5a5bb375e8d7bb85928179738328e3,0x72af9f169b619d85a47dfa8fefbcd39de55c567d,0xaa9a6d5cb5ba65765ed53b9693517dfd725a2a7284d0d82cc96763103063acf4,2
sophon,syncswap,2,2025-05-02,9643237,512273892,1,0xf17c039d4e5a5bb375e8d7bb85928179738328e3,0x72af9f169b619d85a47dfa8fefbcd39de55c567d,0x5194ff3d6382be9d074d47daceaa5a099cfb8a518cb5d5a90df6bc18c5bc182e,2
