test_description,blockchain,project,version,block_number,block_date,tx_hash,token_id,seller,buyer,amount_raw,currency_contract
Punk Offered and Sold,ethereum,cryptopunks,1,7812344,2019-05-22,0x835d061340c9469c684a1f4908f25fc4f726636fd4f8b0caee4b2b64d86b6369,5912,0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,0x653a8b0a31a24dba88baf7cb3ab3d144d8253d6b,450000000000000000,0x0000000000000000000000000000000000000000
Punk Sold after Bid acceptance,ethereum,cryptopunks,1,15382169,2021-08-21,0xd0d9a31b6be324601d774b295e05e76e6f69cf3fc918dc68fd6a2dc8cf88434c,5293,0xeaa7580f7b092ddd5d3b30236ec342a855382094,0x51eac3daa1c34f5c2874aa62097ac9965a180b6d,63000000000032000002,0x0000000000000000000000000000000000000000
