version,name,symbol,pool_address,decoded,dune_namespace,dune_table_name,a,mid_fee,out_fee,token_address,deposit_contract,coin0,coin1,coin2,coin3,undercoin0,undercoin1,undercoin2,undercoin3,gauge_contract
Factory V2,SDT/ETH,SDTETH,0xfb8814d005c5f32874391e888da6eb2fe7a27902,yes,curvefi,sdteth_swap,400000,26000000,45000000,0x6359b6d3e327c497453d4376561ee276c6933323,0xfb8814d005c5f32874391e888da6eb2fe7a27902,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,,,,,,,
Factory V1 Plain,sdCRV,sdCRV,0x737bc004136f66ae3f8fd5a1199e81c18388097b,yes,curvefi,sdCRV,200,15500000,15500000,0x737bc004136f66ae3f8fd5a1199e81c18388097b,0x737bc004136f66ae3f8fd5a1199e81c18388097b,0x478bbc744811ee8310b461514bdc29d03739084d,0xd533a949740bb3306d119cc777fa900ba034cd52,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,,,,,0xe64026269a7a528cb9ce17c3a403a956ac973a97
Regular,sbtc,sbtc,0x7fc77b5c7614e1533320ea6ddc2eb61fa00a9714,yes,curvefi,sbtc_swap,,,,0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xfe18be6b3bd88a2d2a7f928d00292e7a9963cfc6,,,,,,0x705350c4bcd35c9441419ddd5d2f097d7a55410f
Factory V1 Plain,Wanna Avoid Tether?,sansUSDT,0x08eaf78d40abfa6c341f05692eb48edca425ce04,yes,curvefi,sansUSDT,10,4000000,4000000,0x08eaf78d40abfa6c341f05692eb48edca425ce04,0x08eaf78d40abfa6c341f05692eb48edca425ce04,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xa47c8bf37f92abed4a126bda807a7b7498661acd,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,0x0000000000000000000000000000000000000000,,,,,
Regular,saave,saave,0xeb16ae0052ed37f479f7fe63849198df1765a733,yes,curvefi,saave_swap,,,,0x02d341ccb60faaf662bc0554d13778015d1b285c,,0x028171bca77440897b824ca71d1c56cac55b68a3,0x6c5024cd4f8a59110119c56f8933403a539555eb,,,0x6b175474e89094c44da98b954eedeac495271d0f,0x57ab1ec28d129707052df4df418d58a2d46d5f51,,,0x462253b8f74b72304c145db0e4eebd326b22ca39
Factory V1 Meta,sUSD Metapool,sUSD,0xd05ce4ab1f4fb0c0e1b65ebe3ed7f2dcfc6ccf20,yes,curvefi,sUSD,100,4000000,4000000,0xd05ce4ab1f4fb0c0e1b65ebe3ed7f2dcfc6ccf20,0xd05ce4ab1f4fb0c0e1b65ebe3ed7f2dcfc6ccf20,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0x1c633797b992bbdf20048b822ba58fd0ea17a8c8
Regular,rsv,rsv,0xc18cc39da8b11da8c3541c598ee022258f9744da,yes,curvefi,rsv_swap,,,,0xc2ee6b0334c261ed60c72f6054450b61b8f18e35,0xbe175115bf33e12348ff77ccfee4726866a0fbd5,0x196f4727526ea7fb1e17b2071b3d8eaa38486988,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,,,0x196f4727526ea7fb1e17b2071b3d8eaa38486988,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,0x4dc4a289a8e33600d8bd4cf5f6313e43a37adec7
Factory V2,RocketPool rETH,rp-eth,0x1dff955cddd55fba58db3cd658f9e3e3c31851eb,yes,curvefi,rpeth_swap,400000,26000000,45000000,0x367d89e3577b95e5d9a770945225b93889b1dc8d,0x1dff955cddd55fba58db3cd658f9e3e3c31851eb,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xae78736cd615f374d3085123a210448e74fc6393,,,,,,,
Regular,reth,reth,0xf9440930043eb3997fc70e1339dbb11f341de7a8,yes,curvefi,reth_swap,,,,0x53a901d48795c58f485cbb38df08fa96a24669d5,,0x9559aaa82d9649c7a7b220e7c461d2e74c9a3593,0x0000000000000000000000000000000000000000,,,,,,,0x824f13f1a2f29cfeea81154b46c0fc820677a637
Regular,ren,ren,0x93054188d876f558f4a66b2ef1d97d16edf0895b,yes,curvefi,ren_swap,,,,0x49849c98ae39fff122806c06791fa73784fb3675,,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,,,,,,,0xb1f2cdec61db658f091671f5f199635aef202cac
Factory V2,RAI/FRAX,RAIFRAX,0xc68ffddea3a77b456227b50ebfdcc3c33bc2a8a4,yes,curvefi,raifrax_swap,200000000,5000000,45000000,0x1b8b8a78e12397e18a2bd2b400205d1eb8897573,0xc68ffddea3a77b456227b50ebfdcc3c33bc2a8a4,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,0x853d955acef822db058eb8505911ed77f175b99e,,,,,,,
Factory V2,RAI/ETH,RAIETH,0x96fb2ab514ca569a1486c50339533ca4637b338b,yes,curvefi,raieth_swap,400000,26000000,45000000,0xde3e8978896e1fa31f1ea2b9012caa4057adb273,0x96fb2ab514ca569a1486c50339533ca4637b338b,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,,,,
Factory V2,RAI/agEUR,RAIAGEUR,0xb6d9b32407bfa562d9211acdba2631a46c850956,yes,curvefi,raiageur_swap,200000000,5000000,45000000,0xca7c3ac4e5fb7b2ae60472c80344ea9403c6d2b1,0xb6d9b32407bfa562d9211acdba2631a46c850956,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,,,,,,,
