block_date,tx_version,event_index,counterpart_event_index,from_address,to_address,from_storage_id,to_storage_id,asset_type,token_standard,amount_raw,transfer_type
2026-04-02,4751703217,14,21,0x925660b8618394809f89f8002e2926600c775221f43bf1919782b297a79400d8,0x075b4890de3e312d9425408c43d9a9752b64ab3562a30e89a55bdc568c645920,0xba753579ed3422277707f7aa165afd57aa604a401896263f8de8cea94f8411a0,0xb3ec85cc3d43f70c76e275626b341138a756ec7626ffae560b9099984933091c,0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b,v2,22173,transfer
2026-04-02,4751703217,14,23,0x925660b8618394809f89f8002e2926600c775221f43bf1919782b297a79400d8,0xfec90c113a5093bde30a7927f608fb41d6f56e00d2f944242de6c75c1732503f,0xba753579ed3422277707f7aa165afd57aa604a401896263f8de8cea94f8411a0,0xf6b010cfc9a9a2a8424d99fd35115d5b45ba4f81ac9f0de5c9df2fe85a8a0943,0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b,v2,443438338,transfer
2026-04-06,4784858996,0,1,0x401a4e135180092f9290e5effc640988ea4bdf3ccd69b95ff3f5c01ea6eafab1,0x5b76bde7b5b239c4191e89b0c4a93da15e30024844b002f52752ac1f978ea8a4,0x41284e98c3c90284e00ce6e08c6ca383faba770e193ba156c9c5922ca29aa812,0x728f6741cf8b1614d7d95d55e19265309e8724d086b619a1b2f4884dd1f59e3e,0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b,v2,50100000,transfer
