block_time,token_a_symbol,token_b_symbol,token_a_amount,token_b_amount,project,version,category,trader_a,token_a_amount_raw,token_b_amount_raw,usd_amount,token_a_address,token_b_address,exchange_contract_address,tx_hash,tx_from,tx_to,evt_index,trade_id
2022-04-15T13:22:06+00:00,,ETH,,1.93890786403523,Kyber,dmm,Aggregator,\x01f3d543eef96441772de4e947d0cd7f2c12d318,183812605507087000000000,1938907864035224988,5872.79680753357,\x0913ddae242839f8995c0375493f9a1a3bddc977,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\xdf1a1b60f2d438842916c0adc43748768353ec25,\x4e1fed8ba59e27f4d805f86dbc1e27f09bc4013e33d2de1f9a44c8b73fe469de,\x01f3d543eef96441772de4e947d0cd7f2c12d318,\xdf1a1b60f2d438842916c0adc43748768353ec25,138,1
2022-04-15T13:23:11+00:00,ETH,,0.08,,Kyber,dmm,Aggregator,\x0abc4ca6f2eff08fe2a36e140dbf37d4d55110df,80000000000000000,713686147015875004230,242.3136,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\xaab679e21a9c73a02c9ed33bbb6bb9e59f11afa9,\xdf1a1b60f2d438842916c0adc43748768353ec25,\x5dc8591d0c64d788179689d05751082cca52fc13f33731447592d6b87b115144,\x0abc4ca6f2eff08fe2a36e140dbf37d4d55110df,\xdf1a1b60f2d438842916c0adc43748768353ec25,63,1
2022-04-15T13:24:06+00:00,ETH,,0.15,,Kyber,dmm,Aggregator,\x4cd787d8fad55f42869df1c93788ff384ecf2c08,150000000000000000,1394738723772929009647,454.338,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\xaab679e21a9c73a02c9ed33bbb6bb9e59f11afa9,\xdf1a1b60f2d438842916c0adc43748768353ec25,\xfe750b75f54d33332e3ff767df0015b3b1df75e05aa94547fc91c62b301c7601,\x4cd787d8fad55f42869df1c93788ff384ecf2c08,\xdf1a1b60f2d438842916c0adc43748768353ec25,183,1
2022-04-15T13:27:42+00:00,ETH,,2,,Kyber,dmm,Aggregator,\x01f3d543eef96441772de4e947d0cd7f2c12d318,2000000000000000000,10427440355045567238,6055.66,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\x6d06aa1e471de7d7b4d7810d1ef57fba6c35d898,\xdf1a1b60f2d438842916c0adc43748768353ec25,\xe5cdf3299b9b4b84b1aeb58a46143d2684e208bffa6f0fb13e7527ee7f9fa80a,\x01f3d543eef96441772de4e947d0cd7f2c12d318,\xdf1a1b60f2d438842916c0adc43748768353ec25,64,1
2022-04-15T13:28:15+00:00,ETH,STRNGR,0.010573270656712,0.565940603206988,Kyber,dmm,Aggregator,\x56c8f06334de3f329a046385b92f942a675d0d87,10573270656712000,565940603206988389,32.0140660925123,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\xdc0327d50e6c73db2f8117760592c8bbf1cdcf38,\xdf1a1b60f2d438842916c0adc43748768353ec25,\x21c217864b6f05e377d01f0832b3e6b447c17cf6facfab215a14a79e35c08186,\x56c8f06334de3f329a046385b92f942a675d0d87,\xdf1a1b60f2d438842916c0adc43748768353ec25,478,1
2022-04-15T13:28:15+00:00,SWAP,ETH,596.087426706424,0.131977277399663,Kyber,dmm,Aggregator,\x6dbe2f90ee5b22544b4ac3926103f01820eaf453,596087426706424000000,131977277399662848,399.604759829021,\xcc4304a31d09258b0029ea7fe63d032f52e44efe,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\xdf1a1b60f2d438842916c0adc43748768353ec25,\x52e5c5a6ed954269e66d5500052f20ecc48012217676183112b9389a91477af0,\x6dbe2f90ee5b22544b4ac3926103f01820eaf453,\xdf1a1b60f2d438842916c0adc43748768353ec25,88,1
2022-04-15T13:28:43+00:00,ETH,,0.17,,Kyber,dmm,Aggregator,\xeb37700a1037c584545768ba899341f97555f51f,170000000000000000,857274863867511771,514.7311,\xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,\x6d06aa1e471de7d7b4d7810d1ef57fba6c35d898,\xdf1a1b60f2d438842916c0adc43748768353ec25,\x050612faa399722492ab45d52b7f5eb8b1cf3894a3bbe51dd7e6bc666da98a7c,\xeb37700a1037c584545768ba899341f97555f51f,\xdf1a1b60f2d438842916c0adc43748768353ec25,24,1
2022-09-27T16:00:11+00:00,USDT,WBTC,993.170097,0.0495074,Kyber,dmm,DEX,\x4a137fd5e7a256ef08a7de531a17d0be0cc7b6b6,993170097,4950740,994.136316144,\xdac17f958d2ee523a2206206994597c13d831ec7,\x2260fac5e5542a773aa44fbcfedf7c193bc2c599,\xd343d5dba2fba55eef58189619c05e33cab95ca1,\xe3ff5267c655217d8fdf925730d9801ef6178276ced2ef7eea7d8226af4f1ffe,\x00a2aebc7e233cd2ffe5ab5856f90f0ad2fa3ccd,\x4a137fd5e7a256ef08a7de531a17d0be0cc7b6b6,465,1
2022-09-04T06:49:48+00:00,WETH,KNC,1.63411128432242,1496.24173400158,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,1634111284322420000,1496241734001579532419,2536.76167555644,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,\x61639d6ec06c13a96b5eb9560b359d7c648c7759,\x827285ca4eb8a1ea81a661559dbb775324a6c22177bedb88d5d94ed6c1152512,\x1a54220656fa426a20331141324260398a549314,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,34,1
2022-09-04T07:31:10+00:00,REQ,WETH,14348.3144410077,1.09292675629934,Kyber,dmm,DEX,\x56178a0d5f301baf6cf3e1cd53d9863437345bf9,14348314441007700000000,1092926756299340017,1694.34940739527,\x8f8221afbb33998d8584a2b05749ba73c37a938a,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xa97642500517c728ce1339a466de0f10c19034cd,\x2bb190ab0e51dceed37014ffcdb7b10d1561f527b1b448c10605eb3dc815b8db,\x93f635372008b7c5d770aaa6ff313454c8dc498c,\xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,21,1
