block_date,tx_hash,tx_from,tx_to,tx_index,transaction_type,transaction_result,delivered_currency,delivered_issuer,delivered_value
2026-01-27,3006103F5F2AEE30CE3870F1A8BD02C47134947E4B1A5DC4A3D002022DEBF088,ranDnPAFpwSRibeafyNbh14rh3Hcch2qvg,ranDnPAFpwSRibeafyNbh14rh3Hcch2qvg,46,Payment,tesSUCCESS,5349474D41000000000000000000000000000000,rfKYWZ84fm9eVEdoTcsQCo1WdqMPyaUF5z,3603.162349
2026-01-27,304FBCDC8F755494EE1F07909C9C961862554380CD5ACC5365AB60C49CE229E6,rUg8ac5ikpTaWk5RPei8xuYkNEyUs53G1i,rUt4E2FKEYRTrza9RoPx3ZMBZ9JD8A1G3B,100,Payment,tesSUCCESS,XRP,"",284
2026-03-14,35091596CBD3162C46746293A5B97E6EC908EA76BAB4483D5422D60EEE194544,r13wdhTV5XUQWcNkeTyMSJzD12g6DWEKs,,159,CheckCash,tecPATH_PARTIAL,,,
