block_number,tx_hash,evt_type,token_id,amount_original,address
17446125,0x0f83a5f5e3618afced9f74d54f92ecbe15260a5e3617f06cf30649df17fd7393,repay,6801,2.084315139277703,0xf968a5de2019de1f0a8f53758dd137ae5c9efbc9
17412879,0x69e51ce17cb06c173bfd88945c00940fbda52bb44dd402335469643572badef1,borrow,8414,2.49913175756273,0x86d3ee9ff0983bc33b93cc8983371a500f873446
17382512,0x1012af473bc0f963175f65bcaaeae099153b4e67bd760f9a8a82cafb74ac5430,liquidation,50,0.1,0x4f49d938c3ad2437c52eb314f9bd7bdb7fa58da9
