evt_tx_hash,evt_block_time,price
0x1df29678ef0cbd6b6f47c8a049fcaaee8342e1333c2363f69c4a0b528352d3a7,2022-05-23T23:59:36+00:00,1000000000000000
0x2082823c6cd3a67b52047f2a1a56ccb94944f074975c89e06b8e6aa2c41d881d,2022-05-23T23:59:36+00:00,79000000000000000
0x216f65773c1a5c84424f05c337bc16b82cee053fbc8778627a64f38d0d23d859,2022-05-23T23:59:36+00:00,34000000000000000
0x450eb565079cb8c82da38e127d5cd2c0929225795d8ce23e1357913d7b7225b5,2022-05-23T23:59:36+00:00,100000000000000000
0x4692cc71d5cbb232a4442993a2b2b99eac3b679ab1f0528f75e2a69ff3dd6a6e,2022-05-23T23:59:36+00:00,12000000000000000
0x572a6558149c8501269fc70ca4b88009b4a09c8902e7c519c679af36344da7e3,2022-05-23T23:59:36+00:00,17900000000000000
0x7fdaf63b0bf096e4102be3801ed887350eecbc89cfd7a98a7882b4cf44995f49,2022-05-23T23:59:36+00:00,200000000000000000
0x8c597536b5c76fd2173a2a925ea2a15dd6ec3da70b8f2769a7c20f7cd7cb137b,2022-05-23T23:59:36+00:00,0
0xc6c95b50afb0000b42454d649979b0d013f0b1ecf0db2aa2a3ea30cce91153d2,2022-05-23T23:59:36+00:00,7000000000000000
0xc7ed7a540fd3d01a7fb373c0197b242bcfccfc8b35af9a6ddf7a05153374e4fc,2022-05-23T23:59:36+00:00,17500000000000000
0xd265a268b40831fa96fcf89a02a68f5c79ddf21b862cbcc915762d2db2a27de2,2022-05-23T23:59:36+00:00,10000000000000000
0x1ec41febce8c8def517e5cf6d79a020ad1caee068128b8c393136e27b7a46bb5,2022-05-23T23:59:31+00:00,95000000000000000
0x3c8d1630e992e03410e55248b9e78c55ad4f1e46c9eb2feedd8255a55c3a6098,2022-05-23T23:59:31+00:00,97000000000000000
0x14135303b3e3d28fe10c2881c8dcee8e4d5e1f9ff2d542fb0ebcfdfd13c5e248,2022-05-23T23:59:19+00:00,38000000000000000
0x91163d97ae3e4a64fb6d1c461ab494cc8a112770cdc70046abd93f4a6874fbb4,2022-05-23T23:59:19+00:00,112000000000000000
0x99b96c59249140797787711dc18dd3526c782759b630c8128d7e233accaa1ee6,2022-05-23T23:59:19+00:00,114000000000000000
0x17a4b884c4b50e1e781e9bcd4960c18c64ff16948b3b52dbc80c6efb32c5e233,2022-05-23T23:58:55+00:00,33000000000000000
0x3c229d0e8ef073e09bdd14dd6e0ec4adf128db1ef8eedea1eaf03b06b2f0e0b9,2022-05-23T23:58:55+00:00,0
0x47e3412fd614fe41c4a37db3e118de2b59ba25ba58ecb5b62738c52099691772,2022-05-23T23:58:55+00:00,19500000000000000
0x52279cebfd15cd9a88ceb67b1b6efa256fee3da60dc385339d6b6898de89a67b,2022-05-23T23:58:55+00:00,124000000000000000
0x52279cebfd15cd9a88ceb67b1b6efa256fee3da60dc385339d6b6898de89a67b,2022-05-23T23:58:55+00:00,125000000000000000
0x5a6692fe1887c43a136608ab23b48fc897919772c0519b79cc214084fdd52145,2022-05-23T23:58:55+00:00,200000000000000000
0x63345082841aa016759d9c2f22ef801de80fa3c622d8011c766c964b7159756f,2022-05-23T23:58:55+00:00,100000000000000000
0x63621c6d24dc78f1d76227d9a95674f37cff817fe01f6fc02ce67ca8af334f38,2022-05-23T23:58:55+00:00,9500000000000000
0x692beec804d87e4626d27ee649cd264e3619da40f346fc59d28206e5a2c4f7a7,2022-05-23T23:58:55+00:00,20000000000000000
