block_number,version,tx_hash,token_id,amount_original,buyer,seller
21736320,v1,0x00536611a351d98ca37009aa5b557c49f8f3fc00e1f78300ce77b92b4fed942b,135104,0.4,0x42661ba55093e4417117c6c2379727a764e12fd1,0x3b6e760ca5b5c9fc492f1533b6a4728fa4e59e2d
11601696,v2,0x0227a63c293672d514916e15d9354678aaf991603dbd4adce5572d79d2b02b6b,3126816,0.45,0xb648f34df9c4960779bd6da4d9cd8d80f158ac82,0xb08c80ff740edc3721ff4a6d620f6fc155b170d0
