block_time,tx_hash,token_id,amount_original,seller,buyer
2022-12-20 15:40,0xf89a4b146bd7e5611d706cc029ab60f5cb49cd97f3b71a1c269ad09d0c892756,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x6d2075fbdfaa91b20870afada8134c431ab08ca1
2022-12-20 15:41,0x93d59a21851b61c113a56b9d70755bb974de135e74a1267707030c10f93f385f,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0xbc291ef6cb11d2a32a13df9db8191a29effeb302
2022-12-20 15:27,0x5c2122519d6bf2b8ef54b7c1c9a834af921a3bc3b5abb8381599f08b446fe003,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x3f92c83b2693c1935b24ec27b5e2cdd8c673c28e
2022-12-20 15:32,0x4639093fe46a70360b26dfb863c19ff8d360b7d34b15c6f4cd5afc6338ee14da,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x3ea50ad8201ce4a1431c40273451e0fabe2a6ef3
2022-12-20 15:07,0x05d9a6c0813a7e8d074ae46666b88cad76bb355aa155ba11b35a0d8729cd8f43,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x4b66d54409ee30eb6e2af403a90f7326985beb2b
2022-12-20 15:25,0x262debc1157634467ff3370e7f6fb1911ba1978a0d7db1e643f6866cfca270b0,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x4d0fe4d7ba0b18ff4908a9bab4d13b615baaeb29
2022-12-20 15:42,0x0ab9e6d0fcd4971060ef2c4ab4062c452cfbdd6d1e2417650c6c5a5d3a4c53f3,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x518f7795062a9f2a70c930a6d78617f419ffd833
2022-12-20 15:06,0x1447cf4f4357bd4d48dd6da397f36361a844ca21a3fe7f94b775cb39723ebda4,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x9d022a09753c5ec8b48f10a3f77fa2fd3aefc5f4
2022-12-20 15:06,0xa668278ff1353e2f8325569326dd45026c8f8b043a8fa0bc12ae4aebecaa53b1,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x85c732ccf57ed3f3eb04c156723b81879501b5bf
2022-12-20 15:06,0x60fb041df9c8b4e156935320efdf9c00d816f2eb2764a6585b89820c46740fc8,0,9,0xe1cc038dca4c70f3f4d6fd7c75104db4e4bafc9b,0x816e402de0f0debdea7bb57327466c19d8492b57
