blockchain,project,version,block_date,tx_hash,evt_index,nft_contract_address,token_id,sub_type,sub_idx,buyer,seller
polygon,seaport,v1,2022-11-11,0x3b07e05c0a0fe80e5793a9395a4b844780b7a33852aedafd1196be7cc05bba69,23,0xc70a7496716b3e25546901fe88215531abbd5a10,238,offer,1,0xd5b60a2ae59986e50a9552003b5d66c30f1a25ba,0x17025c896ecd7a8fe502617b6c631f28bda76704
polygon,seaport,v1,2022-11-11,0x3ac8fd48d6226e6136f900ed10e879a1f9b862e80710b3130676bda3f869bb82,366,0x622d8fea4603ba9edaf1084b407052d8b0a9bed7,2811164,offer,1,0xbc3a956a05808799f3ef9b1b1eeeec56f8d89e21,0x30523df27179971c41c4ae8b9a9b30aaca9a75a8
polygon,seaport,v1,2022-11-10,0x39b84a27dfdbcb67a797913b5db678af3e3abfbc6f7020eee74450f00f4be33f,265,0x622d8fea4603ba9edaf1084b407052d8b0a9bed7,2010493,offer,1,0xe1b27589760a6bda4e77f0720d7319926bb10754,0xffa5b82d15ce9b3b56486faf05364d9b52eaacae
polygon,seaport,v1,2022-11-14,0x0f7c442845f58bf9e1eec90b6e2c399a7af961ef4f7df192ecfeb62140e3dc59,9,0x22d5f9b75c524fec1d6619787e582644cd4d7422,419,consideration,1,0x03b554e6f75c750a8e3affe2ffa23332d0ea7a78,0x1b34bc6e87d79ce7d08d7d6b4f923ede6bd53fd0
polygon,seaport,v1,2022-11-15,0x118f3b30ce59a860da92b139fda2287d28572ce19642ac513fe482b66dd0db57,289,0xee52cb4dda48dab025e911edbebbc843881a36c3,0,consideration,1,0x0ee8a7de00b82f8fc99263e9f42b09cf415b9911,0x6646773eaaa76a1b6083849eb4607b7d418c610a
polygon,seaport,v1,2022-11-09,0x1ce4882b8210cfc1c6cdfbd4b883bb0b38a7c23fb996fbb155c8de476c2a43ca,154,0xa9a6a3626993d487d2dbda3173cf58ca1a9d9e9f,10034466110987136190011058609656181567800507902337333604860695558114794602882,consideration,1,0x57b8734f103eeead3a699656e2c2ef031aed9508,0x81b53dd9c7627d825c5fca066d8d611412c7cce4
avalanche_c,seaport,v1,2022-11-25,0xeaa92bb35f3c6273da18a434ce1e1789495d7cf387f84deecbd6a4943d7d374b,1,0x7fef2139b84eecea4088307b2c6d4689d9dbd130,93,offer,1,0x0000000000000000000000000000000000000000,0xf99df199299dd01808c41446737f52a7e6dbb8cd
avalanche_c,seaport,v1,2022-11-25,0xeaa92bb35f3c6273da18a434ce1e1789495d7cf387f84deecbd6a4943d7d374b,2,0x7fef2139b84eecea4088307b2c6d4689d9dbd130,93,consideration,1,0x3803b6f9bbf032c2299cec3ac5f527424e3639bc,0x0000000000000000000000000000000000000000
avalanche_c,seaport,v1,2022-11-26,0xfad54bc6275f25ec4156799127cf0c75b3a7a3c58fe82fbe6381d01ca16e6c1d,1,0xddccc21fc45e96a04d4213e3b0b9e54498107702,1515,offer,1,0x0ff120a38dd95838521be6c22d595df98c9ec990,0x5df178dce46e35ddd122f6cda1468a91ea819e67
avalanche_c,seaport,v1,2022-11-23,0x26826a00cb048bfb894329f8609f33e9c5481d8505c28f3a52651e65f18e5db1,14,0xb42d0f524564cafe2a47ca3331221903eda83b3c,3563,offer,1,0xafdcbde126666c4187ac4ff3c709f49ca502b565,0x908c3bae3621aeb8e0068f32d271cba80ba1e7fa
avalanche_c,seaport,v1,2022-11-27,0x56b3143785ba6f0b5ad7f195186a5d0f4e0041564df5b79b1739d46a8032bb29,23,0x7b6121b5b97b9945ce8528f37263bc01ca0b1826,61,offer,1,0xbfd51eb6b0cebf338f8cafb200daa4344d7aad7b,0x4ede99b27f49277425490bcb58565ac6e27c0d8d
avalanche_c,seaport,v1,2022-11-27,0x56b3143785ba6f0b5ad7f195186a5d0f4e0041564df5b79b1739d46a8032bb29,24,0x7b6121b5b97b9945ce8528f37263bc01ca0b1826,63,offer,1,0xbfd51eb6b0cebf338f8cafb200daa4344d7aad7b,0x4ede99b27f49277425490bcb58565ac6e27c0d8d
avalanche_c,seaport,v1,2022-11-27,0x56b3143785ba6f0b5ad7f195186a5d0f4e0041564df5b79b1739d46a8032bb29,25,0x7b6121b5b97b9945ce8528f37263bc01ca0b1826,93,offer,1,0xbfd51eb6b0cebf338f8cafb200daa4344d7aad7b,0x41b5e243ea178d277a510025ecd02887c3126a40
avalanche_c,seaport,v1,2022-11-27,0x56b3143785ba6f0b5ad7f195186a5d0f4e0041564df5b79b1739d46a8032bb29,26,0x7b6121b5b97b9945ce8528f37263bc01ca0b1826,66,offer,1,0xbfd51eb6b0cebf338f8cafb200daa4344d7aad7b,0x41b5e243ea178d277a510025ecd02887c3126a40
avalanche_c,seaport,v1,2022-11-27,0x56b3143785ba6f0b5ad7f195186a5d0f4e0041564df5b79b1739d46a8032bb29,27,0x7b6121b5b97b9945ce8528f37263bc01ca0b1826,96,offer,1,0xbfd51eb6b0cebf338f8cafb200daa4344d7aad7b,0x46f0849df698b6c5e31936b21ea28f301fb8d7e2
