blockchain,project,version,nft_contract_address,token_id,token_standard,trade_category,buyer,seller,project_contract_address,aggregator_name,aggregator_address,tx_from,tx_to,block_time,block_date,block_number,tx_hash,unique_trade_id,buyer_first_funded_by,seller_first_funded_by,same_buyer_seller,back_and_forth_trade,bought_it_three_times_within_a_week,funded_by_same_wallet,is_wash_trade
ethereum,opensea,v3,0xb5643598496b159263c67bd0d25728713f5aad04,8221,erc721,Offer Accepted,0x3a19a189ce7ce8e65dc4d22adbe7023620942eba,0x4458dc0d176611ad5ce3b1158c38f5c1e321ee55,0x00000000006c3852cbef3e08e8df289169ede581,,,0x4458dc0d176611ad5ce3b1158c38f5c1e321ee55,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T11:37:23Z,2022-11-20T00:00:00Z,16010973,0xbfcbe8ad0c5be8b4a6f09e08c1343a3f8ce44cdc7a79776fc9b40b961bba26cc,seaport-0xbfcbe8ad0c5be8b4a6f09e08c1343a3f8ce44cdc7a79776fc9b40b961bba26cc-217-0xb5643598496b159263c67bd0d25728713f5aad04-8221-1,,,false,false,false,false,false
ethereum,blur,v1,0x11f8a67716f2bec393763d1e2a1cc6cc01164d24,1575,erc721,Buy,0x7a7cf35d695f2265399cf5a6cf0eb86a186b1d19,0x4118f1e74d693dace7cb22f5482089be79164fe2,0x000000000000ad05ccc4f10045630fb830b95127,Blur,0x39da41747a83aee658334415666f3ef92dd0d541,0x7a7cf35d695f2265399cf5a6cf0eb86a186b1d19,0x39da41747a83aee658334415666f3ef92dd0d541,2022-11-20T07:05:35Z,2022-11-20T00:00:00Z,16009621,0x5c56c0dbfad14995ef847afba5cb17f9ff73fc3223b2b117e12dee8be7480f90,ethereum-blur-v10x5c56c0dbfad14995ef847afba5cb17f9ff73fc3223b2b117e12dee8be7480f90-0x4118f1e74d693dace7cb22f5482089be79164fe2-0x7a7cf35d695f2265399cf5a6cf0eb86a186b1d19-0x11f8a67716f2bec393763d1e2a1cc6cc01164d24-1575,,,false,false,false,false,false
ethereum,blur,v1,0x600df00d3e42f885249902606383ecdcb65f2e02,1488,erc721,Buy,0xe252f34121e3e3d459a506e094e84fc62f8b7acc,0xf53feaeb035361c046e5669745695e450ebb4028,0x000000000000ad05ccc4f10045630fb830b95127,,,0xe252f34121e3e3d459a506e094e84fc62f8b7acc,0x000000000000ad05ccc4f10045630fb830b95127,2022-11-20T11:08:23Z,2022-11-20T00:00:00Z,16010829,0xa1a567d9ce9504a06a1ed32f246611e0be62232946d4a7e1280a64fc734a6ac2,ethereum-blur-v10xa1a567d9ce9504a06a1ed32f246611e0be62232946d4a7e1280a64fc734a6ac2-0xf53feaeb035361c046e5669745695e450ebb4028-0xe252f34121e3e3d459a506e094e84fc62f8b7acc-0x600df00d3e42f885249902606383ecdcb65f2e02-1488,,,false,false,false,false,false
ethereum,opensea,v3,0x167a30e917233e5dee11d64c4dbbbc13cc9bc134,2521,erc721,Buy,0xc60c6c8592390e6c8bdbb9aa728f8485762be956,0xed0c30ef483c6bea7c26a6cf28677ec17c4c81ab,0x00000000006c3852cbef3e08e8df289169ede581,Blur,0x39da41747a83aee658334415666f3ef92dd0d541,0xc60c6c8592390e6c8bdbb9aa728f8485762be956,0x39da41747a83aee658334415666f3ef92dd0d541,2022-11-20T17:58:11Z,2022-11-20T00:00:00Z,16012866,0x5333f252664a10a89d0dc43676bd64713da1a7e944ee3127933d665232b521d7,seaport-0x5333f252664a10a89d0dc43676bd64713da1a7e944ee3127933d665232b521d7-305-0x167a30e917233e5dee11d64c4dbbbc13cc9bc134-2521-1,,,false,false,false,false,false
ethereum,opensea,v3,0x33fd426905f149f8376e227d0c9d3340aad17af1,8,erc1155,Buy,0xe9a55df6a77f50f0cc523b8ee5401ded3ee37036,0x7caf18a329e7b6cd31af444878450604cf9c9e4d,0x00000000006c3852cbef3e08e8df289169ede581,,,0xe9a55df6a77f50f0cc523b8ee5401ded3ee37036,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T21:44:47Z,2022-11-20T00:00:00Z,16013992,0xf494b387929b152ca422e0c77fe047f7da7ade76a61b093f5dc01f035e42800c,seaport-0xf494b387929b152ca422e0c77fe047f7da7ade76a61b093f5dc01f035e42800c-173-0x33fd426905f149f8376e227d0c9d3340aad17af1-8-1,,,false,false,false,false,false
ethereum,opensea,v3,0x55451e74a3dd670789cbb63748550fe009f0b9e2,7672,erc721,Buy,0x4aeff3a4366ce491fd3f59ec9846dfd7bf4f2dd3,0x69a415fdd15c4430203f862a0ea2232435ef6a0d,0x00000000006c3852cbef3e08e8df289169ede581,,,0x4aeff3a4366ce491fd3f59ec9846dfd7bf4f2dd3,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T14:07:47Z,2022-11-20T00:00:00Z,16011718,0x8dee8a9e065b695f439883748c35cb96446818c56277c91c41aa64f88773d7cc,seaport-0x8dee8a9e065b695f439883748c35cb96446818c56277c91c41aa64f88773d7cc-111-0x55451e74a3dd670789cbb63748550fe009f0b9e2-7672-1,,,false,false,false,false,false
ethereum,opensea,v3,0x6c869a43a9d362ef870d75dae56a01887578421d,6385,erc721,Buy,0xb0603bdb6d0d94ea126e8a6dbac41cf783e60bee,0x3654d399ecd217c7f4329ede78e459c0d37e29e9,0x00000000006c3852cbef3e08e8df289169ede581,Blur,,0xb0603bdb6d0d94ea126e8a6dbac41cf783e60bee,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T11:42:23Z,2022-11-20T00:00:00Z,16010998,0xe630ce691e42ef42024ba804103126c102a93685f43acd925cddee839a9412f4,seaport-0xe630ce691e42ef42024ba804103126c102a93685f43acd925cddee839a9412f4-192-0x6c869a43a9d362ef870d75dae56a01887578421d-6385-1,,,false,false,false,false,false
ethereum,x2y2,v1,0xa30cf1135be5af62e412f22bd01069e2ceba8706,6632,erc721,Buy,0x539ea5d6ec0093ff6401dbcd14d049c37a77151b,0x09564716e12eb2ca51f64d07d76aa88b7cdc0283,0x74312363e45dcaba76c59ec49a7aa8a65a67eed3,Blur,,0x7bf7e492e8248e843d15d43f9c8e804cb8178f3c,0x539ea5d6ec0093ff6401dbcd14d049c37a77151b,2022-11-20T05:09:23Z,2022-11-20T00:00:00Z,16009045,0x6c50d44e5219ffc68eb5b3455521fd877787a73e74082e981aa4f56b1946c6b5,x2y2-0x6c50d44e5219ffc68eb5b3455521fd877787a73e74082e981aa4f56b1946c6b5-0xa30cf1135be5af62e412f22bd01069e2ceba87066632-0x09564716e12eb2ca51f64d07d76aa88b7cdc0283-101100Trade,,,false,false,false,false,false
ethereum,opensea,v3,0xaf559c34d94b0fb7067b5911451fd031802547dd,1007,erc721,Buy,0xcd0416451277fa11d870a0312b4da5dc027cbe99,0xa117163be1686e3a34bb97832f4c92f7e1a2790f,0x00000000006c3852cbef3e08e8df289169ede581,Gem,,0xcd0416451277fa11d870a0312b4da5dc027cbe99,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T03:37:35Z,2022-11-20T00:00:00Z,16008589,0xa19f158769535b89d9a10109193daffcb7b2d94594eb0ac4f37ec17d02ace175,seaport-0xa19f158769535b89d9a10109193daffcb7b2d94594eb0ac4f37ec17d02ace175-140-0xaf559c34d94b0fb7067b5911451fd031802547dd-1007-1,,,false,false,false,false,false
ethereum,opensea,v3,0xa35aa193f94a90eca0ae2a3fb5616e53c1f35193,3981,erc721,Buy,0x4019259cbee3ad7d1d0755fb45506e7063ee1bcf,0x6861698b928562e396b9b6db2c0abb17c4c729cd,0x00000000006c3852cbef3e08e8df289169ede581,,,0x4019259cbee3ad7d1d0755fb45506e7063ee1bcf,0x00000000006c3852cbef3e08e8df289169ede581,2022-11-20T01:47:35Z,2022-11-20T00:00:00Z,16008040,0x4bef0c157fbfc8c521a96d3ac458a0eb0be3fa9c3a84b2022666f616d5e5301e,seaport-0x4bef0c157fbfc8c521a96d3ac458a0eb0be3fa9c3a84b2022666f616d5e5301e-175-0xa35aa193f94a90eca0ae2a3fb5616e53c1f35193-3981-1,,,false,false,false,false,false
