block_time,block_height,tx_id,value,address,type,version,staker,finality_provider,stakingtime,index,unstake_tx_id,unstake_block_time,status,babylon_acceptance,babylon_status
2024-08-22 13:53:33.000 UTC,857916,0x35447d44090cba9576059c6851c21934c4e39187de4c701f852e25a6b5f031e4,0.05,bc1pzww2cq5c2dsf6ysf59ztcpq3hqhtx56xskvhyx07c8cj3psm4wws9hpws0,witness_v1_taproot,0x00,0xf3576d06e72b728dc8f74f4527ad363e8d0d2f484b926361864eec950479f48e,0x0f5c19935a08f661a1c4dfeb5e51ce7f0cfcf4d2eeb405fe4c7d7bd668fc85e4,0xfa00,2347,0xb9b493f2ea1f492641d6ed2a27f510bb0b644def0c9135ddf00c155179a684ed,2024-09-05 14:21:53.000 UTC,confirmed,overflow,unstaked
2024-08-22 13:53:33.000 UTC,857916,0xe6b4a76ad90214e50cb290da3e467f393f52bd7fcedc35587cac3c731f7f3ae4,0.05,bc1p3y6glg7tjnmvpu0hu4u4f09uhtz3phjdxgxlgvlv7pz05m8p476st0nyrh,witness_v1_taproot,0x00,0x47a76a0b9faab338351b844df017207e361bba7dc37d0428d1e5fd8ac426ca5b,0x0f5c19935a08f661a1c4dfeb5e51ce7f0cfcf4d2eeb405fe4c7d7bd668fc85e4,0xfa00,2348,0xf38960db423feb08b95d9124aeb7a8e62321c11fd09520702cca775289897541,2024-09-05 15:40:34.000 UTC,confirmed,overflow,unstaked
2024-12-11 06:57:37.000 UTC,874220,0xc809535a9b76d4ec255c096c41ce2d18037e8b059884e93f11624b5c2e15d57a,0.69583785,bc1qqws0734qnlxhrygtvw5y7vxywfeqdqq7gpvccs,witness_v0_keyhash,0x00,0x73aceffb9a3ce79fa352a23211541e8748259071548213a901040e4e6a59fa77,0x289719ef19e455816e474588007f1824df7f6b1bace7decf8bb1c435e4cb849e,0xfa00,34,0x07c6cbeabd7dcb3039db5dfc19ab6058ce30d25ff337ae7a5859052a28ed993d,2024-12-13 05:26:29.000 UTC,confirmed,accepted,unstaked
2024-12-11 07:04:39.000 UTC,874223,0xffe790f4ee53e53bba8014775d3538938c2ca37559f9ab36e7a5d15118b49588,0.005,bc1pqrugear5fz6r2dpsq748v5klpvggkwf0820qlgj3fy4rqyg5wlpq3fr6rs,witness_v1_taproot,0x00,0xeea88f3cc59307847c900795fdba771b2e35db1650b4358418bbaf0cfd00f965,0x2877658a1e7608fe84543a75ca879334bb8f2e7aecae71adb7767192bda50739,0xfa00,900,0x96b5ea74f8c02a618920cbdebe867f888d11d7f38351eb1fa859b264f6615cdf,2024-12-11 11:02:32.000 UTC,confirmed,accepted,unstaked
