block_number,tx_hash,sub_tx_trade_id,buyer,seller,nft_contract_address,nft_token_id,price_raw,royalty_fee_amount_raw
35388785,0xee3e3c521e08aad7ecbb2bebe1619813d84282de0fc60090f699cfe0d1cb96a8,0,0x9aa4b22a616d5cbc6834d3e5da877d17f93c2b77,0x3013c5c7bae60b1bb8e33311fe3c14c790beedc7,0xe1398278b7210fabb17c2abc948fb3ee688b786b,36,70000000000000000,7000000000000000
29511671,0x6dc7b53f5916e597578d2bd901dfba9fbd2f7e75c90e6d4ea92566f8c976b52a,10,0x9a372e6797919473b5751b8853c7f46ef9e07615,0xc2d05d5350a9b5f7cd5c75ae5c67fdbed852a2e1,0xce4fee23ab35d0d9a4b6b644881ddd8adebeb300,9512,360000000000000000,27000000000000000
