block_number,tx_hash,sub_tx_trade_id,buyer,seller,nft_contract_address,nft_token_id,price_raw,platform_fee_amount_raw,royalty_fee_amount_raw,description
17227718,0x1edb4639e02f97533ae1cf8553ecfb5b0176945df3bc2e2d2b5920490644500b,277,0x5888700be02f52c8adf85890886ef84a6b8a7829,0x317ca097b4546bf40e066df7d74d27c60e7077fa,0xfc2068c3d47b575a60f6a4a7bf60dea0ac368e01,8491,410000000000000000,2050000000000000,0,TakerAsk
17228048,0xc53da549c54d543c0bea77d3acb6521aa4bcf70068194229ed78943f4ef9e413,333,0x81c6686fbe1594d599ac86a0d8e81d84a2f9bcf2,0x06d51314d152ca4f88d691f87b40cf3bf453df7c,0x4ba0be4d8d83b5ca9935d0e0284f707e8f2dd6d1,1,32000000000000000000,160000000000000000,0,TakerAsk
17230836,0x197fbcfc35b4e97423ef5bc5665592b27daa07860c053b1b6879fd98ec31ea5e,77,0x5888700be02f52c8adf85890886ef84a6b8a7829,0x0000008682fa8c3aa14b11894e90e3dcbbff715b,0xfc2068c3d47b575a60f6a4a7bf60dea0ac368e01,7126,410000000000000000,2050000000000000,0,TakerBid
17227260,0xb3b9be3c05ee38485cf877773962fb2e7e9798943a91513b6113830cd25ab132,499,0xa854772db43b52d7b456c2b5a40bd41627b316c2,0xc935aaa23734fce35843829d2a39c3920172a0d6,0x595a8974c1473717c4b5d456350cd594d9bda687,11755,275000000000000000000,1375000000000000000,0,TakerBid
