blockchain,project,version,block_number,block_time,tx_hash,evt_index,token_address,recipient,amount
optimism,aave,3,112619916,2023-11-24 15:10:09.000 UTC,0x7063ceeaf028de89a28227cd93dfb9e226719d8cbaf68a6b2079ebbc97d45801,38,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,0xcfae0d8c5707fcc6478d6a65ffa31efadef8b8ec,9.993814861884763E19
optimism,aave,3,112616108,2023-11-24 13:03:13.000 UTC,0x17a26c22f241518f527cfeef4e978532e323c1e2458655088b5e2f5dbb118109,541,0x7f5c764cbc14f9669b88837ca1490cca17c31607,0xcfae0d8c5707fcc6478d6a65ffa31efadef8b8ec,2120676916
optimism,aave,3,112616085,2023-11-24 13:02:27.000 UTC,0x1a4b8d29e8a65f0d9e5287cb180e17e9547d817acb78e4aa997c4270ddb3a07e,160,0x8c6f28f2f1a3c87f0f938b96d27520d9751ec8d9,0xe1c6c62828a20466751fb9396c8b8140e37ca769,6.526760851532423E20
