blockchain,day,wallet_address,token_address,symbol,unique_transfer_id,amount_raw,amount
bnb,2021-11-10 00:00,0x67093641ce8f67633656c3d5b6666c457a14dbf0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x67093641ce8f67633656c3d5b6666c457a14dbf0-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-11-10 00:00:00,270262729340112,0.000270262729340113
bnb,2021-07-02 00:00,0x6b293a6c268d861aa9b8ccade0f422ac3572750c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x6b293a6c268d861aa9b8ccade0f422ac3572750c-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-07-02 00:00:00,18052500985735170,0.018052500985748
bnb,2021-07-04 00:00,0x583cf7156c02d379be2f46c0158a335c6726f651,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x583cf7156c02d379be2f46c0158a335c6726f651-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-07-04 00:00:00,220432664968647200,0.220432664968647
bnb,2021-07-02 00:00,0xa60a154bf401da9fde04c4d1f7477e676d7a71b5,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0xa60a154bf401da9fde04c4d1f7477e676d7a71b5-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-07-02 00:00:00,158404303774127230000,158.404303774127
bnb,2021-06-29 00:00,0xdfca4cc83f670f7f38c063a511a21839eac2c1b0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0xdfca4cc83f670f7f38c063a511a21839eac2c1b0-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-06-29 00:00:00,2978025212848292,0.00297802521284715
bnb,2021-06-30 00:00,0xb04c92a631c8c350cf81b5b54a0fe8dfbcc68677,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0xb04c92a631c8c350cf81b5b54a0fe8dfbcc68677-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-06-30 00:00:00,89743515058445780000,89.7435150584458
bnb,2021-07-01 00:00,0x713129d96b66f72831ed1c5df079f82b76c849c6,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x713129d96b66f72831ed1c5df079f82b76c849c6-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-07-01 00:00:00,-428217069474506000,-0.42821706947451
bnb,2021-07-02 00:00,0x2a23ccee45fc2160de7693fcbc53e429536713bd,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x2a23ccee45fc2160de7693fcbc53e429536713bd-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-07-02 00:00:00,15766,4.75747913286639E-15
bnb,2021-03-07 00:00,0x0c8f9a56544cc988f1873a038de2f3e4c6fe6f27,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0x0c8f9a56544cc988f1873a038de2f3e4c6fe6f27-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-07 00:00:00,302715284500797000000,302.715284500797
bnb,2021-03-11 00:00,0xba51d1ab95756ca4eab8737ecd450cd8f05384cf,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,0xba51d1ab95756ca4eab8737ecd450cd8f05384cf-0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c-2021-03-11 00:00:00,1.1835073684483E+22,11835.073684483
