block_time,block_date,block_month,block_number,blockchain,amount_usd,type,token_bought_amount,token_bought_symbol,token_bought_address,token_sold_amount,token_sold_symbol,token_sold_address,fee_percentage_fraction,fee_usd,fee_token_amount,fee_token_symbol,fee_token_address,bribe_usd,bribe_token_amount,bribe_token_symbol,bribe_token_address,project,version,token_pair,project_contract_address,user,tx_hash,evt_index,is_last_trade_in_transaction
2023-06-27 14:21:59.000 UTC,2023-06-27 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17571248,ethereum,247.39874351538117,Buy,1000000,xBBPP,0xe9fdb522f1b6623bb29cf1d70c4728a7e55c5634,0.13115278450087534,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0033,1.2369937175769046,0.000655763922504376,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,WETH-xBBPP,0xfcc8b9479380bdc125a22f26b7b5e8556260631e,0xe77fd9756dac9ebfe8a7d9c623d988814987964e,0x1c38a8e61a6284d76f3a7864db8982075362a5803a382ab2b4ab39ee513b50c3,40,true
2023-06-22 23:42:59.000 UTC,2023-06-22 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17538493,ethereum,280.08852,Buy,42.799570025,ADHD,0x5aa02fcbc3228f554bb25ad25d61b7e0d9171a90,0.14925,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.005,1.40748,0.00075,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,ADHD-WETH,0x40ac21338ffc2f9842e705ad6a6afd2e2ae5c0ec,0xc4fb7ad11fbc1c5733e5f56043f44c690d6c5686,0xec24759a11c87c339b3bb3b94bc69af8e1f635aa84fec010b53db72d6fe8ef89,119,true
2023-06-14 18:10:11.000 UTC,2023-06-14 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17479865,ethereum,49.01570409693425,Sell,0.02818776473456452,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1000000,SUMO,0x89de32e4faec49a49c6888c80177a64c44cfa279,0.005,0.27735408138124457,0.000159499730508508,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,SUMO-WETH,0x8974a4bda7f853350399efc8755f5a131526cc96,0xc4fb7ad11fbc1c5733e5f56043f44c690d6c5686,0x400b337136efd00a38e47129f90d7511cb1ecab92b915011ff3b14262982bfc8,62,false
2023-06-29 21:38:11.000 UTC,2023-06-29 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17587682,ethereum,300.38487893008005,Buy,2103450000000,PANDA2.0,0xc14717860700110ba3d4aa37e9e65c579d33972d,0.16215020643887484,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0041,1.5019243946503997,0.000810751032194374,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,PANDA2.0-WETH,0x67e79ac965b14d2545e982da4b7b39819b7f3a39,0xe8216d86406a259b06914381fabfeb21f0816d4f,0xd9ecd67631e501fc77a5b410edd908b8cb8aa86cc86bbdfb89fd9897d77ad30b,362,true
2023-06-28 22:50:47.000 UTC,2023-06-28 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17580908,ethereum,34.38071525584545,Sell,0.018778758954051143,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1620000,NIGGA,0xcdb0a88b9262f80c18335721abe6f30d93838375,0.005,0.17190357627922595,0.000093893794770255,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,NIGGA-WETH,0x68abae52d15448b6dee54a77b4d5ffd638527ef0,0xc4fb7ad11fbc1c5733e5f56043f44c690d6c5686,0x6b0ca962f4f769b941b7a4d2c56695b15dcf03550bd491f4acd8ead330b83988,68,true
2023-06-30 02:01:47.000 UTC,2023-06-30 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17588992,ethereum,52.09813260127674,Sell,0.028206282809942796,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,170112.502759297,AKITA2.0,0xe88c04843e6d0e23106d818ca0c733ac6b1ec4a1,0.005,0.2604906630063819,0.000141031414049713,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,AKITA2.0-WETH,0xc6c0f865332e493c4bd319aafa90e651a05efc45,0x1ce6aeb8627e63b9095f63fb6d5253ca00af9052,0xfdcc40a6e9df2c1a2faf40159f349b0facd7adb0c05a721985ebcbc9bfc82b84,4,true
2023-06-14 20:16:11.000 UTC,2023-06-14 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17480490,ethereum,11.583918363316796,Buy,100000000,PUPPET,0x3d758acddc716b6546eac6dff6b8999a48b403b6,0.006856621008799784,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0005,0.05791959181658242,0.000034283105043998,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,PUPPET-WETH,0x4ce950e3199ec50117305f4e856c8711da976a4b,0xc4fb7ad11fbc1c5733e5f56043f44c690d6c5686,0x7f08e1a6baaf3473397099ffa9f20bd20bdd57d7a9db19a8ea4ac8c0d0c2b5ac,39,true
2023-06-23 06:07:47.000 UTC,2023-06-23 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17540397,ethereum,168.49009107170215,Sell,0.0893808703459281,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4330596.16229814,MIYAGI,0x77506f689ab69ac272c22461a9b4752da8ff8d19,0.005,0.8424504553585098,0.00044690435172964,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,MIYAGI-WETH,0x425d1e45c187789330858478f3524e70186360e9,0x0b2ee0131f16ff30770a26e3f0fd04ce815ce7aa,0xe4afc82443bd9eec4d9a8f7332175c2d892fb66cabf3d52eec8f6452fd9e4eb6,29,true
2023-06-16 20:54:35.000 UTC,2023-06-16 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17494903,ethereum,36.460887803062526,Sell,0.021144346259561422,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,11250000,ZACH,0x818127fecda533375a31cfdc320432dbc7711b48,0.005,0.18230443901531246,0.000105721731297807,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,WETH-ZACH,0xd550584fb4b64d4dc05bfff430f17ee926ad3abf,0xc4fb7ad11fbc1c5733e5f56043f44c690d6c5686,0xe1c1bedb133ca58791db4528b8ac5779c83a7a388302b6d45e3a0c74ae28ac6f,48,true
2023-06-30 18:23:11.000 UTC,2023-06-30 00:00:00.000 UTC,2023-06-01 00:00:00.000 UTC,17593848,ethereum,338.8265421627775,Buy,20000000,COLOSSEUM,0xc53d202865e5ad65ab138d13d28dfe6a17e8fdc0,0.17554778855235065,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0044,1.6941327108138868,0.000877738942761753,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,ETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,uniswap,2,COLOSSEUM-WETH,0x8df8089f479447ad6f5950d8539ac50b709a4af4,0xe4b145c9b367cde08ee6057b3620815f0a08d6b4,0x519d52a2f2b37cf863f46ab9caae829789dd7bbe6baec284b15cb4325d5520a5,49,true
