blockchain,project,version,block_date,tx_hash,evt_index,block_number,id,salt,token0,token1,amount0_raw,amount1_raw
ethereum,uniswap,4,2025-02-08,0xea90c6f0a260a4ea79e843ba56614b3c3ca03ce9dd63eabae9afc292d1326671,229,21798748,0xd74da5a875592a57f2193a5f9c0adbb631183557fd10919859f6808340239aa9,0x00000000000000000000000000000000000000000000000000000000000005bc,0x0000000000000000000000000000000000000000,0x000000007a58f5f58e697e51ab0357bc9e260a04,65601439153949350,542768773253231700000
ethereum,uniswap,4,2025-02-12,0x8fb0f3250b71e585e5f6e0036a370b9c792a2fcbc8074ac82ef583bfc514a546,51,21829112,0x6c6e1ac250a45414a9093d1565c3a74aae1c411e88efff1e9315dbec0a606dc3,0x000000000000000000000000000000000000000000000000000000000000083a,0x0000000000000000000000000000000000000000,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,174497524323882,999999999999999200
