blockchain,project,version,block_date,tx_hash,evt_index,block_number,id,token0,token1,amount0_raw,amount1_raw
arbitrum,uniswap,4,2025-02-14,0xe6131f9ac163bc7151030c4a3fc494dcef84880d0ee97e1fbb1f431605b230fe,2,306101558,0xa8f9f06a98f60632ab91aab6f8e87a6d5ac59e45b6108c741cf439004c749729,0x0000000000000000000000000000000000000000,0xc87b37a581ec3257b734886d9d3a581f5a9d056c,6605767615386871,460546225781731950000
arbitrum,uniswap,4,2025-02-12,0x31477fd327c210c8342e6d59c2ac28e68732cd7db7404b0066601a78d4a060ed,20,305251678,0x11da14e920bc6bd1914ff02f2c0a70821ae0b0e65e00a85405a8323441551fc7,0x0000000000000000000000000000000000000000,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,69763886699102216,19398167902193880000
