blockchain,project,version,block_date,tx_hash,evt_index,block_number,id,token0,token1,amount0_raw,amount1_raw
base,uniswap,4,2025-01-31,0xa65d6cbaa5e2b548f05958c15d187a4e3c34403699fc5f152134f1378faefdbb,240,25780030,0xf93af909af8fd7d012c60f3d2d81092dd2a62daa2733d3d6e37a8e98bb3931fe,0x0000000000000000000000000000000000000000,0x000000000d564d5be76f7f0d28fe52605afc7cf8,3999999999999601700,3391788400502676000
base,uniswap,4,2025-02-01,0xaa1b08b070de89c343f09434863aec4394db64d66077cda3d5854b230fa5386a,178,25812008,0xec1540ba7255fb8c95fd45f8197dfcec93065931beb45834f3da02d24fca5dfc,0x000000000d564d5be76f7f0d28fe52605afc7cf8,0x7ad2b32650fea70cf9ecc3812e9a255a93e168eb,691580435356451700,0
