blockchain,project,version,block_date,tx_hash,evt_index,block_number,id,token0,token1,amount0_raw,amount1_raw
optimism,uniswap,4,2025-02-11,0x38a42252ee222cdd5001bd5c8f6c461009e1f93d5a94498c8a92bf446696e781,4,131856899,0x3fe215718e177f02ebd8550d969e9f15ab544a66d431f88f06c2b0b0f68ce742,0x4200000000000000000000000000000000000042,0x8700daec35af8ff88c16bdf0418774cb3d7599b4,176074936494137670000,131015716020397330000
optimism,uniswap,4,2025-01-23,0x4deea8db12041661a7a434c9ce0348c5e1905925e0bb2422f0ba2b1f01fbc1b8,50,131032691,0x4d1c6d2e90acd9d6b8cce180938372ed71c5105d18dace6318b43194b1022b26,0x0000000000000000000000000000000000000000,0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,8000000000000001,40619962832175150000
