block_number,tx_hash,token_id,amount_original,buyer,seller
7866345,0xd78a65ee2fdb6d6719a5b6bf7ad0cd6713bf32213c5c5df480fd49bcf13072f0,3,150,0x97a1341c5c827706bcbc30fb7064ec423262ce92,0x7d8e4b2b6a436f55c67a3001c1a9a6a219f3e1d3
53056674,0xdeae45d8832f70f805f5e671ea8c313aa8819d24281ac008810b40c9939ed7e9,4560,160.0,0x2c6dfc6f7ad5f9cbb08b60a958e8189d427497d0,0x3eb2b60929ecb88f85234da59e529d656b4e5c49
54532480,0x0ea8e7e59593e8809d7d18cb3b3cbb4f2bb132a2bee107789db8002c47b7ca5e,10554,808.0,0xf9c1989eb95dbc89489410cdf3941541937016ff,0x72f49af425d059a476d3c7abeecce86c0e587a4e
32342040,0x0b00a76301676ce62cc85b0ca3b4d056a4f4c19c7a8fcea4db7056cb94752c26,5981,0.01,0x938594ac888f330dadb0ca61930b5a369be119c6,0xb0704ba969a38d17b318ba00be16c80cc83ce976
