block_number,tx_hash,token_id,amount_original,buyer,seller
53056674,0xdeae45d8832f70f805f5e671ea8c313aa8819d24281ac008810b40c9939ed7e9,4560,160,0x2c6dfc6f7ad5f9cbb08b60a958e8189d427497d0,0x3eb2b60929ecb88f85234da59e529d656b4e5c49
54532480,0x0ea8e7e59593e8809d7d18cb3b3cbb4f2bb132a2bee107789db8002c47b7ca5e,10554,808,0xf9c1989eb95dbc89489410cdf3941541937016ff,0x72f49af425d059a476d3c7abeecce86c0e587a4e
