blockchain,project,version,block_date,block_time,token_id,collection,token_standard,trade_type,number_of_items,trade_category,evt_type,seller,buyer,nft_contract_address,project_contract_address,tx_hash,evt_index,block_number,tx_from,tx_to,royalty_fee_receive_address
optimism,quix,seaport,2022-12-04T00:00:00Z,2022-12-04T22:53:27Z,2872,Bored Town,erc721,Single Item Trade,1,Offer Accepted,Trade,0x47a2a5a8950dd410410f0af03af0964cae6ffec4,0x1b782def7a5ea494de59977739da7d323aa183de,0x8e56343adafa62dac9c9a8ac8c742851b0fb8b03,0x998ef16ea4111094eb5ee72fc2c6f4e6e8647666,0x5318f8afa3315aed66cdefd6567c8365d30fc3325815ddb1cdfb49017048b7f6,0,4.5445698e+07,0x47a2a5a8950dd410410f0af03af0964cae6ffec4,0x998ef16ea4111094eb5ee72fc2c6f4e6e8647666,0x6ff5723435b7dfc2371b57fb5cb4c373e5995c78
optimism,quix,seaport,2022-12-06T00:00:00Z,2022-12-06T06:50:54Z,6670,OaycNFT,erc721,Single Item Trade,1,Offer Accepted,Trade,0x2c23f12195077bee4ac4f7d598af30904a5fbf91,0x1797b056c84e56f1b7c8d19715b75f761a81e6c4,0x0deaac29d8a3d4ebbaaa3ecd3cc97c9def00f720,0x998ef16ea4111094eb5ee72fc2c6f4e6e8647666,0xe38f16aef2e57bfd33ff9b54de7529d016eb1bdc950770e84b0ee170401a79da,0,4.5922037e+07,0x2c23f12195077bee4ac4f7d598af30904a5fbf91,0x998ef16ea4111094eb5ee72fc2c6f4e6e8647666,0x9458fac809f8f1448390bd6ff1abb4ef26c1dda8
